"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","extendedAddress","yearOpened","hoursOfOperation","mailingListUrl","yearClosed"
"fGgpIu","Ajeper S.A.","","http://www.ajegroup.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Avenida la Paz Lote 30","Santa María De Huachipa","Lima","","","-12.0188167","-76.924746","Y","N","N","Y","micro","Micro Brewery","PE","Peru","PER","604","","","","",""
"HaPdSL","Aksarben Brewing Company","Aksarben Brewing Company","","2006","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","11337 Davenport St.","Omaha","Nebraska","68130","402-884-7444","41.2602869","-96.0903344","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","2006","","",""
"tu8Rbm","Aktienbrauerei Kaufbeuren","","http://www.aktien-brauerei.de/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Glq8HX/upload_LaZkRM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Glq8HX/upload_LaZkRM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Glq8HX/upload_LaZkRM-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hohe Buchleuthe 3","Kaufbeuren","Bayern","","49-(0)8341-/-430430","47.87814","10.61612","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","",""
"WDrFlD","Alameda Brewing Company","Alameda Brewhouse is a brewpub in the heart of the Beaumont Village in Northeast Portland. We have been in business for nine years, offering hand crafted ales and freshly prepared food. All of our beers are produced on location in our 5.5 BBL brewhouse under the watch of headbrewer Carston Haney. He produces a wide variety of beers, from the light, refreshing Siskiyou Golden Ale to the deep, impenetrable Black Bear Double Stout, which won the Gold Medal at the 2003 GABF and the Silver Medal in 2006 and 2008 in the foreign-style stout category. In addition, there is always at least one seasonal beer on tap to fit the mood of the season and one selection served on nitrogen.","http://www.alamedabrewhouse.com/","1996","N","https://s3.amazonaws.com/brewerydbapi/brewery/t5YwQy/upload_ByHGBw-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/t5YwQy/upload_ByHGBw-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/t5YwQy/upload_ByHGBw-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:26","4765 NE Fremont St","Portland","Oregon","97213","503-460-9025","45.5484823","-122.613645","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","1996","Mon:  11:00am - 11:00pm Tue:  11:00am - 11:00pm Wed:  11:00am - 11:00pm Thu:  11:00am - 11:00pm Fri:  11:00am - 12:00am Sat:  11:00am - 12:00am Sun:  11:00am - 11:00pm  Mon - Thu:11:00 am - 11:00 pm  Fri - Sat:11:00 am - 12:00 am  Sun:11:00 am - 11:00 pm","",""
"8Xa3ue","Alamo Beer Company","Alamo Beer Company is the brainchild of Eugene Simor of San Antonio, Texas. Handcrafted just a day’s ride from the Alamo. So the next time you’re in town, remember to raise some ale.    We deliver pure & honest Texas beer. A smooth and refreshing golden ale brewed with a fiercely independent spirit.","http://www.alamobeer.com/","2002","N","https://s3.amazonaws.com/brewerydbapi/brewery/uygijz/upload_jbjloT-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/uygijz/upload_jbjloT-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/uygijz/upload_jbjloT-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","135 Magnolia Dr","San Antonio","Texas","78212","210-872-5589","29.453234","-98.478967","Y","N","N","N","production","Production Facility","US","United States","USA","","#6101","2002","","",""
"krIs45","Alaskan Brewing Company","Alaska has a rich history of brewing. From the explorers of the 1700s through the Gold Rush, many a thirsty Alaskan has been able to enjoy locally made beers.    In 1986, 28-year-olds Marcy and Geoff Larson reignited that tradition when they opened the Alaskan Brewing Company, the 67th brewery in the country and the first brewery in Juneau since Prohibition. Alaskan beers reflect many of the same characteristics of beers that were brewed here during the gold rush era. From the historically based Alaskan Amber recipe to alder-smoked malts and Sitka spruce tips, Alaskan beers reflect Juneau's local brewing history and innovation.    Marcy and Geoff were drawn to the beauty and adventure of Alaska, but finding a livelihood that would allow them to stay was a challenge. ""Why not start a brewery?"" a friend suggested. Other than the extreme financial and logistical challenges of brewing beer in the Last Frontier, they couldn't think of why not.    Maybe the idea wasn't so far-fetched. After all, Geoff was a chemical engineer and a homebrewer and was married to Marcy, an adventure-seeking accountant and aspiring bush pilot. Together they brought a unique skill set to the task of opening a brewery in Alaska.    While researching brewing in Alaska, Marcy unearthed shipping records from Douglas City Brewing Co. (1899-1907) that listed ingredients for its popular beers and a newspaper article that described the way it was brewed. Geoff homebrewed a batch of the Gold Rush-era brew and they could see what made it so popular. That beer is now known as Alaskan Amber.    In December 1986, Alaskan Brewing Co. officially began operations when Geoff, Marcy and 10 volunteers spent 12 hours hand packaging the first 253 cases of Alaskan Amber for distribution in Juneau, Alaska. From that very humble beginning, Alaskan Brewing Co. has grown to become the most award-winning craft brewery in the history of the Great American Beer Festival and expanded distribution to 14 states.","http://www.alaskanbeer.com/","1986","N","https://s3.amazonaws.com/brewerydbapi/brewery/VPHkaP/upload_32dIr0-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/VPHkaP/upload_32dIr0-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/VPHkaP/upload_32dIr0-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:27","5429 Shaune Drive","Juneau","Alaska","99801","907-780-5866","58.3570171","-134.4893459","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1986","Mon:  8:00am - 5:00pm Tue:  11:00am - 5:00pm  Business hours:  8 a.m. - 5 p.m., Monday - Friday    Gift shop and tour hours:  Winter Hours: October - April: 11 a.m. - 5:00 p.m., Tuesday - Saturday  Summer Hours: May - September: 11 a.m. - 6 p.m., 7 days a week","",""
"Asc8GM","Albquell Bräuhaus","","http://www.albquell-brauhaus.de/","1851","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Lindenplatz 6","","Trochtelfingen","D-72818","","48.308365","9.245219","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","","","",""
"NB1gDW","Alcatraz Brewing Co","San Francisco's exciting sights and extraordinary cuisine have been captured for your enjoyment at Alcatraz Brewing Company!    Take a virtual vacation to San Francisco every time you visit one of our locations across the U.S. See scale replicas of the Golden Gate Bridge and a Chinese pagoda while sampling foods from famous Bay Area neighborhoods. Enjoy award-winning, hand crafted beers and cask ales. And be sure to leave room for our signature ""The Rock"" dessert.","http://www.alcatrazbrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","20 City Blvd W","Orange","California","92868","714-939-8686","33.782893","-117.892764","Y","N","Y","Y","brewpub","Brewpub","US","United States","USA","","Ste A2","","","",""
"zUkUMx","Aldaris Brewery","Founded in 1865 in Riga, Aldaris employs more than 400 workers, and is the biggest brewery in Latvia. It brews a range of beers, mostly pale lagers. The most popular brands include Luksus, Zelta, Gaišais (Light beer), Pilzenes (Pilsner) and Porteris.","http://www.aldaris.lv/","1865","N","https://s3.amazonaws.com/brewerydbapi/brewery/k2jMtH/upload_PVvUXZ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/k2jMtH/upload_PVvUXZ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/k2jMtH/upload_PVvUXZ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Tvaika iela 44","Rga","","","371-70-23-200","57.0063532","24.1205866","Y","N","N","Y","micro","Micro Brewery","LV","Latvia","LVA","428","","1865","","",""
"4yCJCi","Aldus Brewing","We want to take the fear out of craft beer. Well crafted beer thats easy to drink. Craft beer for All!","http://www.aldusbrewing.com","2014","N","https://s3.amazonaws.com/brewerydbapi/brewery/31jJJL/upload_zAHE7u-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/31jJJL/upload_zAHE7u-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/31jJJL/upload_zAHE7u-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-29 22:32:24","555 Centennial Ave","Hanover","Pennsylvania","17331","","39.790598","-76.976899","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"boTIWO","Ale Asylum","At ALE ASYLUM, we brew beers in the tradition of our friend Crusty Oldbrewer who sent us on this path: brew honest, brew like you mean it. Thus, our beer is brewed and bottled with our own hands on Madison’s East Side. In fact, ALE ASYLUM operates the only bottling facility in Madison.    ALE ASYLUM is unfiltered and all natural. We use no additives, preservatives, fruit, horse hooves, fish guts, or extracts. Our ingredient list: water, malt, hops, and yeast. This is what we mean when we say our beer is FERMENTED IN SANITY. You know who makes it, you know what it’s made with. You know after having one you’ll want another.    We brew traditional, bold beers for those who demand quality and consistency. To those people we say: raise a pint, because you believe how we believe.","http://www.aleasylum.com/","2006","N","https://s3.amazonaws.com/brewerydbapi/brewery/MMSB2i/upload_mgyl30-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/MMSB2i/upload_mgyl30-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/MMSB2i/upload_mgyl30-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:28","3698 Kinsman Blvd","Madison","Wisconsin","53704","608-663-3926","43.125762","-89.3252504","N","N","Y","Y","micro","Micro Brewery","US","United States","USA","","","2006","Mon:  11:00am - 12:00am Tue:  11:00am - 12:00am Wed:  11:00am - 12:00am Thu:  11:00am - 12:00am Fri:  11:00am - 2:00am Sat:  11:00am - 2:00am Sun:  2:00pm - 12:00am  Mon - Thu:11:00 am - 12:00 am  Fri - Sat:11:00 am - 2:00 am  Sun:2:00 pm - 12:00 am","",""
"1NOTvG","","","http://aleasylum.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:29","2002 Pankratz St.","Madison","Wisconsin","53704","(608) 663-3926","43.1207344","-89.3537098","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2006","Mon:  11:00am - 12:00am Tue:  11:00am - 12:00am Wed:  11:00am - 12:00am Thu:  11:00am - 12:00am Fri:  11:00am - 2:30am Sat:  11:00am - 2:30am Sun:  11:00am - 10:00pm  Mon - Thu: 11:00 am - 12:00 am  Fri - Sat: 11:00 am - 2:30 am  Sun: 11:00 am - 10:00 pm","",""
"dZiocE","Ale House Brewing Company","Located in San Jose California, we founded our brewery the principle of creating high quality, low volume, hand crafted beers. Ale House Brewing will take beers back to what they are meant to be - full bodied and flavorful. All of our beers are aged on oak to enhance the flavor profile and extract some of the natural sugars found in the wood. We invite you to experience our beers!","http://www.alehousebrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/OJdDDq/upload_6sHX1h-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OJdDDq/upload_6sHX1h-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OJdDDq/upload_6sHX1h-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4020 Colmery Ct","San Jose","California","95118","(408) 390-7574","37.262267","-121.900099","Y","Y","N","Y","micro","Micro Brewery","US","United States","USA","","","","","",""
"q6RWjc","Ale India","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-08-13 12:06:54","","Washington","District of Columbia","","","38.9071923","-77.0368707","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","","","","","",""
"E8C6fp","Ale Industries","The idea for Ale Industries started on the front porch of the Old River house, on Hammer Island, CA. Steve and Morgan brewed together almost every weekend, through scorching summers, wind and rain, and one time even through a flood! During the week they both worked at the local craft brewery, and learned how to turn their dream into an actual production brewery. Morgan sold the river house, and Steve sold everything he owned, then the two started down the path to Ale Industries.","http://www.aleindustries.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/gLF6R7/upload_TQv0Bk-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/gLF6R7/upload_TQv0Bk-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/gLF6R7/upload_TQv0Bk-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","975 Detroit Ave","Concord","California","94518","925-470-5280","37.9516163","-122.0278397","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Ste E","","","",""
"PYvBOs","Ale Syndicate","Ale Syndicate Brewers is one of Chicago's newest breweries. Located in the Logan Square community, Ale Syndicate is dedicated to making craft beer worthy of Chicagoans. Ale Syndicate's founders, brothers Samuel Evans and Jesse Edwin Evans, aim to produce their unique take on traditional styles of beer, such as IPA, porter and session ale. Learn more at alesyndicate.com","http://alesyndicate.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/KAEeiz/upload_06rZw1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KAEeiz/upload_06rZw1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KAEeiz/upload_06rZw1-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2601 W. Diversey","Chicago","Illinois","60647","(773) 340-2337","41.932036","-87.6932319","Y","N","N","N","production","Production Facility","US","United States","USA","","","2012","","",""
"unTEwS","Aleman Brewpub","Coming to Chicago in 2013","http://alemanchicago.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/JyJ8dh/upload_Gq1WLd-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/JyJ8dh/upload_Gq1WLd-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/JyJ8dh/upload_Gq1WLd-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-07 17:24:06","3304 N Knox Ave","Chicago","Illinois","60641","812-340-4198","41.940959","-87.743221","Y","Y","Y","N","micro","Micro Brewery","US","United States","USA","","","","","",""
"qRuupG","AleSmith Brewing Company","Forged in 1995, AleSmith is an artisan microbrewery that specializes in handcrafted ales in a variety of styles. Deeply rooted in the amateur and craft brewing communities, AleSmith ales have continued to garner national and international awards and acclaim, as well as a loyal and rabid following among beer enthusiasts.","http://alesmith.com/","1995","N","https://s3.amazonaws.com/brewerydbapi/brewery/ygAzC9/upload_L2JXeA-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ygAzC9/upload_L2JXeA-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ygAzC9/upload_L2JXeA-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-13 14:46:31","9368 Cabot Drive","San Diego","California","92126","858-549-9888","32.8924532","-117.1447157","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1995","Thu:  2:00pm - 7:00pm  Fri:  2:00pm - 7:00pm  Sat:  12:00pm - 6:00pm  Sun:  12:00pm - 4:00pm    Thu:  2:00pm - 7:00pm  Fri:  2:00pm - 7:00pm  Sat:  12:00pm - 6:00pm  Sun:  12:00pm - 4:00pm    Tasting Room Hours  Thursday & Friday: 2-7pm  Saturday: 12-6pm  Sunday: 12-4pm","",""
"vHWvX2","Alexander Keith's","","http://keiths.ca/","1820","N","https://s3.amazonaws.com/brewerydbapi/brewery/5KrWKp/upload_ZulQba-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/5KrWKp/upload_ZulQba-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/5KrWKp/upload_ZulQba-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1496 Lower Water St","Halifax","Nova Scotia","B3J 1R9","(902) 455-1474","44.6436726","-63.5695422","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","","","","",""
"Sldiyh","Alexandria's Brewery","Enjoy a uniquely brilliant atmosphere in the heart of downtown Findlay at Alexandria's. Alexandria's is a wealth of micro-brewed beers, a great entertainment schedule and a palette pleasing menu is all pulled together by the culinary genius of world renowned Chef Michael Bulkowski. Welcome to Alexandria's. Dine and Delight.","alexandriasfindlay.com","2011","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","132 E. Crawford Street","Findlay","Ohio","45840","419-424-5750","41.037768","-83.649657","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","Mon - Thu: 4:00 pm - 12:00 am  Fri - Sat: 11:00 am - 2:00 am","",""
"55MX88","Ali'i Brewing Company","Ali'i Brewing Company","","1994","N","https://s3.amazonaws.com/brewerydbapi/brewery/aztnLa/upload_I2oo7d-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/aztnLa/upload_I2oo7d-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/aztnLa/upload_I2oo7d-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","500 Alakawa Street","Honolulu","Hawaii","97817","","21.318624","-157.873044","Y","N","Y","Y","micro","Micro Brewery","US","United States","USA","","#220","1994","","",""
"Ac9ZYF","Alivarya","Brewery was founded in 1864 and is the oldest operating brewery in Belarus.    Today ""Olivaria"" produces 16 varieties of beer under the brands ""Alivaria"" and ""Brewery"". The portfolio of brands includes drink female "" Eve "", owned by Carlsberg Group .","http://www.alivaria.by/","1864","N","https://s3.amazonaws.com/brewerydbapi/brewery/bwZoGc/upload_qQAopN-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/bwZoGc/upload_qQAopN-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/bwZoGc/upload_qQAopN-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","220002 ul. Kiseleva, 30","Minsk","Minsk","","(+375 17) 239-58-01","53.9","27.5666667","Y","N","N","Y","micro","Micro Brewery","BY","Belarus","BLR","112","","","","",""
"Ao55dX","All Saints Brewing Company","All Saints Brewing Company is a new craft brewery in Greensburg, PA. Our mission is to build a brand focused on selling locally manufactured craft beer, for beer people, by beer people. Consistently good tasting craft beer, brewed locally and with Western Pennsylvania pride and passion.    Our brew house is a 7 bbl system which was originally installed at the Red Star Brewery in Greensburg, PA. The system was expanded when brought to All Saints Brewing Company. This expansion allows us additional capacity in addition to providing the opportunity to brew a number of diverse craft brews along with seasonal specialties and Jeff’s world famous barley wines.","http://allsaintscraftbrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/4ap3mq/upload_N5XOQc-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/4ap3mq/upload_N5XOQc-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/4ap3mq/upload_N5XOQc-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:31","1602 Route 119","Greensburg","Pennsylvania","15601","(724) 396-4968","40.311606","-79.526486","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2011","Wed:  12:00pm - 5:00pm Fri:  5:00pm - 8:00pm Sat:  3:00pm - 6:00pm Sun:  11:00am - 1:00pm  Wed:12:00 pm - 5:00 pm  Fri:5:00 pm - 8:00 pm  Sat:3:00 pm - 6:00 pm  Sun:11:00 am - 1:00 pm","",""
"hP5LHZ","Allagash Brewing Company","Allagash Brewing Company was founded by Rob Tod in 1995 as a one man operation dedicated to hand crafting the best Belgian inspired beers in the world. The first beer brewed was Allagash White, a spiced wheat beer and now our company flagship available in 17 states. We love beer, we love working with each other, we continually push the limits of beer and ourselves, and we grow as a profitable and sustainable company (and as individuals), without compromising our values or purpose. This passion has helped us push Allagash to the forefront of the growing Belgian beer category. We’ve won countless awards for our beer (11 medals including 4 gold since 2002 at The Great American Beer Festival & 10 medals including gold & silver in 2012 since 1998 at the bi-annual World Beer Cup), and received acclaim in the press (Gourmet, Bon Appetit, Men’s Journal, GQ, The Wall Street Journal and Saveur). But perhaps best of all, everyone in the Allagash family loves working here.","http://www.allagash.com/","1995","N","https://s3.amazonaws.com/brewerydbapi/brewery/pdLPeS/upload_0Ut2Nj-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/pdLPeS/upload_0Ut2Nj-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/pdLPeS/upload_0Ut2Nj-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:32","50 Industrial Way","Portland","Maine","04103","800-330-5385","43.703215","-70.317677","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1995","Mon:  9:30am - 5:30pm Tue:  9:30am - 5:30pm Wed:  9:30am - 5:30pm Thu:  9:30am - 5:30pm Fri:  9:30am - 5:30pm  Mon - Fri: 9:30 am - 5:30 pm","",""
"Jio9R0","Allentown Brew Works","The Allentown Brew Works is housed inside the historic Harold's Furniture Building at 812 W Hamilton Street. Years in the making, the new Allentown restaurant and brewery are part of the continuing vision of the Fegley family that established the original Bethlehem Brew Works in 1998. Proud to be part of the resurging downtown, the 400 seat restaurant is a testament to the vibrant heartbeat that thrives in this Queen City. Offering two and a half levels of dining, plus state of the art banquet facilities in The Hamilton Room, and multiple bars offering different atmospheres, as well as an outdoor casual Biergarten and a new seductive lower level lounge, Silk.","http://www.thebrewworks.com/allentown-brewworks/","1998","N","https://s3.amazonaws.com/brewerydbapi/brewery/Rx4Dnt/upload_LM87d5-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Rx4Dnt/upload_LM87d5-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Rx4Dnt/upload_LM87d5-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","814 W Hamilton St","Allentown","Pennsylvania","18101","610.433.7777","40.6015629","-75.4740442","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1998","","",""
"Gwo4rP","Alley Kat Brewing Company","Alley Kat Brewing Company is a craft brewery that's mission is to produce oustandingly flavourful, fresh tasting beer of exceptional quality.    Longest running microbrewery in Edmonton and the fourth oldest brewery in Alberta.","http://www.alleykatbeer.com","1994","N","https://s3.amazonaws.com/brewerydbapi/brewery/kPcpYR/upload_vj3u7S-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/kPcpYR/upload_vj3u7S-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/kPcpYR/upload_vj3u7S-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:33","9929 60 Ave. NW","Edmonton","Alberta","T6E 0C7","780-436-8922","53.495389","-113.487933","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","","1994","Mon:  10:00am - 4:30pm Tue:  10:00am - 4:30pm Wed:  10:00am - 4:30pm Thu:  10:00am - 5:30pm Fri:  10:00am - 5:30pm  Mon - Wed: 10:00 am - 4:30 pm  Thu - Fri: 10:00 am - 5:30 pm","",""
"w2WxaR","Allgäuer Brauhaus AG Kempten","The Allgäuer Brauhaus AG is a traditional, today Radeberger group owned specialty brewery from the Allgäu region with headquarters in Kempten. The company brews a wide range of specialty beers.","http://www.allgaeuer-brauhaus.de/","1394","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Beethovenstraße 7","Kempten","Bayern","D-87435","49-(0)831-/-2050-0","47.72368","10.3141","Y","N","N","Y","micro","Micro Brewery","DE","Germany","DEU","276","","1394","","",""
"c5A6lY","Tall Paul’s Brewpub & Alligator Brewhouse","The Alligator brewery is a one-bbl in-house brewpub. We usually have at least ten or more rotating beers on draft at any given time.  Our focus is on the integration of new styles and old-world brewing methods, with a mindset somewhere in between mild reverence and gleeful irreverence.    Alligator is, for now, a very small operation, but we’re working hard to keep things interesting.","http://alligatorbrewing.com/","2007","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-09 20:41:40","10 SE 2nd Ave","Gainesville","Florida","32601","(352) 505-0990","29.650496","-82.324556","Y","Y","N","Y","nano","Nano Brewery","US","United States","USA","","","2007","","",""
"YMFljs","Alltech Lexington Brewing and Distilling Company","Welcome to our little microbrewery in the heart of downtown Lexington. People often ask us why a global company that’s in the business of science also owns a brewery. Well, to make a long story short, my forefathers in Ireland had their hand in the brewing business and crafting beer casks when barrels were made out of wood.    Today, my own family is in the business of making yeast that happens to also go into the making of beer. So, it was a natural for us to revive the brewery that has been in Lexington since 1794. Welcome and enjoy.","http://www.kentuckyale.com/","1999","N","https://s3.amazonaws.com/brewerydbapi/brewery/IuEeGC/upload_gBBmjp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IuEeGC/upload_gBBmjp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IuEeGC/upload_gBBmjp-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-29 20:33:25","401 Cross Street","Lexington","Kentucky","40508","859-887-3406","38.049863","-84.5095709","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","1999","Scheduled Tour Hours:  Monday - Friday at 3:00pm  Saturday at 1:00pm","",""
"FtRclf","Almanac Beer Co","Our artisanal ales are brewed in collaboration with select Northern California sustainable farms. Each limited release is a unique beer to be enjoyed with friends and savored around the seasonal table.","http://www.almanacbeer.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/0dM1NH/upload_UyVTOG-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/0dM1NH/upload_UyVTOG-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/0dM1NH/upload_UyVTOG-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2325 3rd Street","San Francisco","California","94107","(415) 992-3438","37.759984","-122.388403","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","STE 202","","","",""
"Osvyj0","Almar Orchards","This Original Hard-Cider has been made on our family-owned farm in Flushing, Michigan for well over a hundred years. It was first pressed back in the 1850's. Not much as changed in the process since then. We use the same apples from the same orchards as my great-great grandfather did before the time of the Civil War. We are proud of that. It gives us a sense of history.    The cider has played an important role in the ongoing history of our farm. The sale of cider actually saved our farm during the Great Depression. And, during the Prohibition people came from far and wide for our ""Special Farm Cider.""","http://www.almarorchards.com/","1850","Y","","","","verified","Verified","2012-01-03 02:41:33","2014-10-08 17:04:24","1431 Duffield Rd","Flushing","Michigan","48433","","43.027413","-83.913387","N","N","N","Y","cidery","Cidery","US","United States","USA","","","","","",""
"sDAQv6","Aloha Beer Company","Aloha Beer Company embodies the classic Hawaii lifestyle. With the generous spirit of Aloha as a namesake, this is a premium beer that combines the smooth balance of ohana with the refreshing, hang-loose attitude of a Sunday barbecue. Every bottle of ""Hawaii's Beer"" is a heartfelt ""wish you were here"" message from the Islands of Aloha.    We can't create a Hawaiian sunrise, but we can brew the next best thing.","http://alohabeer.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/cx4pWi/upload_Dcstoa-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cx4pWi/upload_Dcstoa-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cx4pWi/upload_Dcstoa-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 19:12:34","580 N. Nimitz Highway","Honolulu","Hawaii","96817","(808) 545-5959","21.3135776","-157.8696224","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","2012","Tue:  2:00pm - 10:00pm Wed:  2:00pm - 10:00pm Thu:  2:00pm - 10:00pm Fri:  2:00pm - 11:00pm Sat:  2:00pm - 11:00pm Sun:  2:00pm - 10:00pm  Tue - Thu: 2:00 pm - 10:00 pm  Fri - Sat: 2:00 pm - 11:00 pm  Sun: 2:00 pm - 10:00 pm","",""
