"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","extendedAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","mailingListUrl","yearClosed","currentPage","numberOfPages","totalResults"
"90gAzo","Wicked Weed Brewing Company","In 2009 Walt and Luke sat at a craft beer bar and talked about the dream of opening their own brewery that would focus on big West Coast hoppy ales and authentic Belgain ales that would inspire those who drank them. From that conversation forward there would be no looking back. A business plan was developed and hundreds of test batches brewed. In 2011 Walt and Luke’s lifelong friend Ryan Guthy and his parents Rick and Denise all sat down at their house in the mountains of Western North Carolina to taste some of Luke and Walt’s creations while looking over the plans for what would be Wicked Weed Brewing.  After being thoroughly impressed with the full flavor and vision of the project, the Guthys joined the Dickinsons and the team was assembled.  Over the next months Wicked Weed Brewing found a home at 91 Biltmore avenue, a building that seemed destined to be a brewery.  With the creativity of Luke, vision of Walt, dedication of Ryan, exquisite taste of Denise and wisdom of Rick a truly unique brewery was born.  So from the humble beginning of a basement, the dream of Wicked Weed Brewing has come to life. Our beer is bold, full of excitement and flavor.  Always focused on drinkability and pushing the boundaries of what we think we are capable of.  Wicked Weed Brewing will always evolve, always grow and always aspire to be greater.  Join us in bringing something a little Wicked to Asheville.","http://wickedweedbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/zeWbuM/upload_rxRe0d-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/zeWbuM/upload_rxRe0d-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/zeWbuM/upload_rxRe0d-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-13 12:33:11","91 Biltmore Ave","","Asheville","North Carolina","28801","828-575-9599","","35.591695","-82.551084","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"xGrMG3","Wicks Brewing Co","Wicks Brewing Company is not your typical Brewery. Besides brewing up barrels of delicious Craft Beer and having a full tasting bar, we offer our guests other amenities as well.     If you are an avid homebrewer or wish to jump into the hobby of homebrewing, we carry everything you need to brew your own Craft Beer or Soft Drinks at home...yes, Soft Drinks as well. There’s no tastier Root Beer than one you made yourself.     If you would like to brew your own Craft Beer or Soft Drinks, but don’t have the room to do it at home or just plain don’t want to own the tools & equipment, we have that covered as well. We have six separate stations where you can brew your own Craft Beer or Soft Drink right here at Wicks Brewing. This system is known as a Brew on Premise (or BOP). All you need to do is choose one of our recipes you would like to try and we will walk you thru the whole brewing process using one of our BOP stations and the ingredients from our stock.    Hungry?...Well, we can take care of that as well. We have an onsite, fully stocked kitchen. The delicious choices on our menu range from appetizers to salads to hardy meals and even desserts.     Make Wicks Brewing your next destination for fun & relaxation, you’ll be happy you did.","http://wicksbrewing.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/ZmVgUm/upload_4EbchV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZmVgUm/upload_4EbchV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZmVgUm/upload_4EbchV-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","11620 Sterling Avenue","Suite C","Riverside","California","92503","(951) 689-2739","Mon - Wed: 11:00 am - 10:00 pm  Thu - Sat: 11:00 am - 11:00 pm  Sun: 11:00 am - 6:00 pm","33.8956251","-117.4844313","Y","N","N","Y","brewpub","Brewpub","US","2013","United States","USA","","","","","",""
"SgctbA","Widmer Brothers Brewing","Widmer Brothers Brewing is located in beautiful and brew-friendly Portland, OR. Our publicly-held brewery employs over 150 people who are as passionate about quality craft beer as Kurt & Rob themselves.    We opened the brewery in 1984, and built a new 40-barrel brewing system in our current Russell Street location in 1990. We've grown steadily ever since. In 1996, we completed installation of a state-of-the art 250-barrel brewhouse, bringing our capacity to 220,000 barrels per year. In 1996, for the first time in our brewery’s history we also installed a bottling line, capable of producing 500 bottles per minute. In 2008 we added six new 1500-barrel fermentation tanks that increased our capacity to 450,000 barrels per year, and added a new keg filling line capable of filling 300 kegs per hour.","http://www.widmer.com/","1984","N","https://s3.amazonaws.com/brewerydbapi/brewery/8wcv7h/upload_ze3hCg-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/8wcv7h/upload_ze3hCg-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/8wcv7h/upload_ze3hCg-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","929 North Russell Street","","Portland","Oregon","97227","503-281-2437","","45.540795","-122.675594","Y","N","N","Y","micro","Micro Brewery","US","1984","United States","USA","","","","","",""
"50Lhkb","Wiedenmayer Beer Co","","http://www.wiedenmayerbrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","438 Main St","PO Box 67","Bedminster","New Jersey","07921","908-470-4000","","40.681885","-74.640257","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"RNzhpm","Wiens Brewing Company","Wiens Brewing Company is a new Temecula brewery! We were happy to open our doors on November 10th, 2012. You may ask if we are affiliated with the winery in Temecula, Wiens Family Cellars, and the answer is yes. The Wiens family has come together yet again in the community of Temecula to open another fun destination. Along with making wine, the Wiens family has been brewing beer for nearly 17 years. At Wiens Brewing Company you can enjoy tastings of beer, pints, or even have a half-gallon-growler filled to enjoy at home. This Temecula brewery tasting room is very spacious with open areas to see the brewhouse and all of our shiny tanks. Come down and try some of our latest beers while we are open Monday through Thursday from 3pm to 8pm, Friday from 1pm to 8pm, or join us on the weekends from noon to 8pm. Spend a day in Temecula and enjoy Temecula's newest brewery, Wiens Brewing Company.","http://www.wiensbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/7LrYr1/upload_RqZouX-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/7LrYr1/upload_RqZouX-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/7LrYr1/upload_RqZouX-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","27941 Diaz Rd.","Suite A","Temecula","California","92590","(951) 553-7111","Hours: M-Th: 3-8, F: 1-8  Weekends: 12-8","33.5052427","-117.1593155","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"GgLW9I","Wig & Pen Tavern & Brewery","The Wig and Pen Tavern and Brewery is a Canberra institution for those who appreciate the value of a truly good beer or cider. Opened by Lachlan McOmish in 1994 and still going strong- the pub moves from strength to strength with its delicious beer and warm, friendly atmosphere. The bar features local wines, an excellent selection of spirits as well as 15 beers and 1 cider, which are all masterfully brewed by the brilliant and award winning Richard Watkins. As an added bonus, 4 of our beers are traditional real ales which means they are cask conditioned and hand-pumped (a rare find in Australia!) The kitchen also serves up some excellent English pub food including burgers, bangers and mash, cheese platters and curries.    So come along and enjoy all that we can offer because, in the words of Lachlan McOmish, ""Life is too short not to enjoy the finest quality beers.""","https://www.facebook.com/wigandpen.canberra/","1994","N","https://s3.amazonaws.com/brewerydbapi/brewery/7pRSgt/upload_mJqT6e-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/7pRSgt/upload_mJqT6e-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/7pRSgt/upload_mJqT6e-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","40 Marcus Clarke st","","Canberra","Australian Capital Territory","2601","","Mon - Tue: 11:30 am - 10:00 pm  Wed - Thu: 11:30 am - 11:00 pm  Fri: 11:30 am - 12:00 am  Sat: 2:00 pm - 12:00 am  Sun: 2:00 pm - 8:00 pm","-35.2783921","149.1264256","Y","N","N","Y","brewpub","Brewpub","AU","1994","Australia","AUS","36","","","","",""
"DyeEfT","Wilbur Brewhaus","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4130 Forest Lake Rd","","Martinsville","Indiana","46151","","","39.486918","-86.477194","Y","N","N","Y","nano","Nano Brewery","US","","United States","USA","","","","","",""
"Ryy587","Wild Beer Co.","Wild Beer, Wild Yeasts, Wild Ingredients, Wild Ideas, Wild Ambitions...","http://wildbeerco.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/kGYkIn/upload_lYhtgc-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/kGYkIn/upload_lYhtgc-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/kGYkIn/upload_lYhtgc-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Lower Westcombe Farm","Evercreech Shepton Mallet","Somerset","England","BA4 6ER","","","51.1517774","-2.4633889","Y","N","N","Y","micro","Micro Brewery","GB","2012","United Kingdom","GBR","826","","","","",""
"MCQWHe","Wild Cider","The World's Best Cider. Produced and packaged in the shadow of the Great Colorado Rockies. Indulge your senses with all our different ciders. Get Wild!","http://wildcider.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/k4dEDV/upload_USZtqu-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/k4dEDV/upload_USZtqu-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/k4dEDV/upload_USZtqu-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","11455 County Road 17","","Firestone","Colorado","80504","(303) 532-9949","","40.1664635","-104.9054654","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","","","",""
"idPjxB","Wild Donkey Brewing Co.","Donkey Punch Brewing Co. features full-flavored craft beers like no others. We hope to see you come out and experience the punch!","http://www.donkeypunchbrewing.com","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/L944Bu/upload_NesweB-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/L944Bu/upload_NesweB-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/L944Bu/upload_NesweB-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2351 W. Lugonia Ave","Ste G","Redlands","California","92374","(909) 478-5005","Wed - Thu: 2:00 pm - 8:30 pm  Fri - Sat: 12:00 pm - 10:00 pm  Sun: 12:00 pm - 6:00 pm","34.0698087","-117.235725","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"hK4Vu2","Wild Duck Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","169 West 6th Ave.","","Eugene","Oregon","97401","","","44.053551","-123.095185","Y","N","Y","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"goLDWH","Wild Earth Brewing","One of Washington's new artisanal breweries, Wild Earth Brewing handcrafts its products in the foothills of the Cascade Mountains. Brewed in small batches for our onsite taproom and limited distribution of kegs and bottles around the area. We aim to continually challenge ourselves through unique production methods and ingredients to bring our customers the best beer possible. Stop by our taproom for the latest bottle offerings, growler fills, or to enjoy a fresh pint of our latest batch.","http://www.wildearthbrewing.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/OubaWB/upload_a7SvJn-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/OubaWB/upload_a7SvJn-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/OubaWB/upload_a7SvJn-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","200 North 1st Street","Unit B","Roslyn","Washington","98941","(509) 649-2466","Fri - Sat: 11:00 am - 9:00 pm  Sun: 11:00 am - 8:00 pm","47.2218141","-120.9925134","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"JdnK3T","Wild Goose Brewery, LLC","Wild Goose Brewery was purchased by Flying Dog Brewing Company.","http://www.wildgoosebrewery.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4607 Wedgewood Blvd.","","Fredrick","Maryland","21703","(301) 694-7899","","39.362775","-77.426478","Y","N","Y","N","micro","Micro Brewery","US","","United States","USA","","","","","",""
"vxW8Cu","Wild Heaven Craft Beers","Wild Heaven is a Georgia company created by lifelong Georgians - founder Nick Purdy (also Publisher of Paste Magazine) with beer recipes designed by Trappeze Pub owner Eric Johnson. Our core year-round portfolio is focused on world-class beers designed to offer something new to the beer landscape—not simply creating our version of what everyone else is doing.","http://wildheavencraftbeers.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/3Z8DUH/upload_EMlNUM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/3Z8DUH/upload_EMlNUM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/3Z8DUH/upload_EMlNUM-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","42 Clarendon Ave","","Avondale Estates","Georgia","30002","404-997-8589","","33.771354","-84.267081","Y","N","N","Y","micro","Micro Brewery","US","2010","United States","USA","","","","","",""
"YHEwML","Wild Mountain Smokehouse & Brewery","","http://www.wildmountainsb.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","70 East First Street","","Nederland","Colorado","80466","303-258-9453","","39.9618083","-105.5093677","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","","",""
"AaxkVm","Wild Onion Brewing","Handcrafted Lagers & Ales, Brewed on Site! Available by the Pint, Growler, Can, or Keg!","http://www.onionbrewery.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/ztnLa0/upload_BrRb2F-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ztnLa0/upload_BrRb2F-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ztnLa0/upload_BrRb2F-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","22221 N Pepper Rd","","Lake Barrington","Illinois","60010","(847) 381-7308","Tue - Thu: 11:00 am - 11:00 pm  Fri - Sat: 11:00 am - 12:00 am  Sun: 11:00 am - 8:00 pm","42.1866127","-88.1842947","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"DM0FZx","Cave Junction","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","249 North Redwood Highway","","Cave Junction","Oregon","97523","1-541-592-3556","","42.170704","-123.645221","Y","N","N","N","micro","Micro Brewery","US","","United States","USA","","","","","",""
"mugYfD","Wild Rose Brewery","Wild Rose Brewery, located in Calgary, Alberta, Canada, is a craft brewery that produces bottled beers and draught ales available to beer lovers in pubs, restaurants and liquor outlets all across Alberta.    All Wild Rose beers are unpasteurized and preservative-free. That's not because we are lazy; rather, it's a conscious choice to offer beer lovers the best products available in Canada. That quality is reflected in our six bottled beers and our draught-only classic ales.","http://www.wildrosebrewery.com/","1996","N","https://s3.amazonaws.com/brewerydbapi/brewery/PDDXmB/upload_q8KvbV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/PDDXmB/upload_q8KvbV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/PDDXmB/upload_q8KvbV-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4580 Quesnay Wood Drive Southwest","Bldg AF23, #2","Calgary","Alberta","T3E 7J3","866-720-2733","","51.01337","-114.122895","Y","N","N","Y","micro","Micro Brewery","CA","1996","Canada","CAN","124","","","","",""
"C1hS1O","Wild Run Brewing Company","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Stafford","Virginia","","","","38.4220687","-77.4083086","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"PEPMoe","Wild Wolf Brewing Co","Currently a homebrew shop and nano - brewery serving growlers of beer and rootbeer. We offer homebrew demonstrations every saturday at noon!     Look for our Pub coming later this fall","http://www.wildwolfbeer.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/ICZpn9/upload_3XvLhN-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ICZpn9/upload_3XvLhN-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ICZpn9/upload_3XvLhN-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2773 Rockfish Valley Hwy","","Nellysford","Virginia","22958","434-361-0088","","37.8899765","-78.8745563","Y","N","N","Y","brewpub","Brewpub","US","2010","United States","USA","","","","","",""
"QoD9Zu","Wild Woods Brewery","Wild Woods is a microbrewery in Boulder, Colorado that creates handcrafted beers inspired by the outdoors. Our beers begin with recognizable styles and are brewed to highlight elements of the wilderness.","http://www.wildwoodsbrewery.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/a2yFCt/upload_N449Jl-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/a2yFCt/upload_N449Jl-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/a2yFCt/upload_N449Jl-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5460 Conestoga Court","","Boulder","Colorado","80301","(303) 484-1465","Tue - Fri: 4:00 pm - 9:00 pm  Sat: 2:00 pm - 9:00 pm","40.0163766","-105.2266644","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"YbkkwZ","Wildcard Brewing Company","Wildcard Brewing Company was just a dream until experience, encouragement and circumstance made it a reality. The idea behind the name Wildcard is to pursue the unknown. Wildcard Brewing Company’s owners left stability for chaos, moved to England to learn the craft of beer making, and started a business in an uncertain economy, all in pursuit of a dream. You’d call them crazy, adventurous, unpredictable....a wildcard. Our story is one of the unexpected; a place where there are no limits, where perseverance and a free spirit will turn dreams into reality.     It started when Jeff and Jenny brewed two beers to give away as wedding favors at a brewery in San Luis Obispo where they went to college. Homebrew projects and burst bottle explosions ensued in the years after. But a casual passion soon turned career as Jeff and Jenny headed to England. Jeff studied brewing science at the University of Sunderland and Jenny conducted “research” in various local pubs. Once back in the states Jeff headed straight for the most competitive brewing location, the Pacific Northwest. Now 4 years later the pair are back in Jeff’s hometown of Redding building out their production brewery.    Wildcard is small startup business focused on brewing flavorful beers and enriching the communities that enjoy them. Spending dollars locally is just a part of that commitment. We will source products and services within 500 miles of our facility as much as possible and intend to exclusively sell beers within that same area. Supporting local businesses not only has great economic impacts but environmental as well. We don’t want to just do business in the Redding community we want to be a part of it. It is important to give back as much as possible to the community and we will make it a point to donate and get involved in local causes and efforts.","http://www.wildcardbrewingco.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/TD4EGg/upload_DQdvya-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/TD4EGg/upload_DQdvya-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/TD4EGg/upload_DQdvya-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","9565 Crossroads Dr","","Redding","California","96003","(530) 722-9239","Wed - Thu: 2:00 pm - 8:00 pm  Fri - Sat: 12:00 pm - 9:00 pm  Sun: 12:00 pm - 5:00 pm","40.565865","-122.297279","Y","N","N","Y","nano","Nano Brewery","US","2012","United States","USA","","","","","",""
"mx4Ck9","Wilde Yaupon Brewing Co","Planned micro-brewery specializing in non-traditional beers, including Lambics, Rauchbier, barrels aged Stouts and Sours. Currently experimenting with recipes, and setting up funding. Expected opening year is 2017","http://wybrewco.com/","2014","N","","","","verified","Verified","2012-01-03 02:41:33","2014-08-23 16:06:46","","","The Woodlands","Texas","77381","","","30.1704912","-95.509247","Y","Y","N","N","micro","Micro Brewery","US","","United States","USA","","","","","",""
"1Y8Ay5","Wildlife Brewing and Pizza","Wildlife Brewing and Pizza was founded in 2003 by Owner & Head Brewer Ric Harmon. Since then we have been serving up Award-Winning Micro Brews, Tasty Pizza Creations, and delivering Great Service.","http://wildlifebrewing.com/","2003","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","PO Box 869","Victor","Idaho","","208-787-2623","","43.59998","-111.111374","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","","",""
"okwu8a","Wildwood Brewing","Wildwood Brewery is a organic craft brewery in Western Montana committed to building an integrated brewing/farming system where all wastes are used as value-added input.","http://wildwoodbrewing.com/","2012","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4018 US Hwy 93 North","","Stevensville","Montana","59870","(406) 777-2855","Mon - Sun: 4:00 pm - 8:00 pm","46.53121","-114.110864","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","","","","",""
"KAEeiz","Wiley Brewing Company","Wiley Brewing Company is a ""Genius"" entrepreneurial brewery in the early stages of development. Specialities include ""Estate"" and ""Big"" brews for the courageous beer drinker.","http://www.wileybrewing.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/P8CiOe/upload_JKWTgp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/P8CiOe/upload_JKWTgp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/P8CiOe/upload_JKWTgp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Thornton","Colorado","","(970) 691-1641","","39.8680412","-104.9719243","Y","Y","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"F7jYQV","Wiley Roots Brewing Company","Wiley Roots Brewing Company is a small, artisan craft brewery that opened in Greeley, Colorado in June of 2013.","http://www.wileyrootsbrewing.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/czwGMM/upload_SHHFtv-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/czwGMM/upload_SHHFtv-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/czwGMM/upload_SHHFtv-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","625 3rd Street","Unit D","Greeley","Colorado","80631","(970) 691-1641","Wed - Fri: 3:00 pm - 11:00 pm  Sat: 2:00 pm - 11:00 pm  Sun: 2:00 pm - 8:00 pm","40.4315603","-104.6879537","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"drqz7W","William Kuether Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-08-23 16:38:30","","","Clear Lake","Wisconsin","","","","45.2519072","-92.2712996","Y","N","Y","N","micro","Micro Brewery","US","","United States","USA","","","","","",""
"ZpN7KQ","Main Cidery","","http://www.sunshineimports.com/products","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","Ledbury","Herefordshire","HR8 1LG","","","52.0477821","-2.4288444","Y","N","N","Y","micro","Micro Brewery","GB","","United Kingdom","GBR","826","","","","",""
"GBZnGx","Williams Brothers Brewing Company","Scottish Craft Beer - Microbrewed For Maximum Flavour. A brotherhood of brewers, creating unique beers while enjoying life beyond the mash tun. Creating & selling exciting new & historical brews worldwide.","http://www.williamsbrosbrew.com","1990","N","https://s3.amazonaws.com/brewerydbapi/brewery/qqxm2J/upload_K1b6v6-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qqxm2J/upload_K1b6v6-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qqxm2J/upload_K1b6v6-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","New Alloa Brewery, Kelliebank","","Alloa","Scotland","FK10 1NT","44-(01259)-725511","","56.11632","-3.795194","Y","N","N","Y","micro","Micro Brewery","GB","1990","United Kingdom","GBR","826","","","","",""
"sVIbQO","Williamsburg AleWerks","Williamsburg AleWerks is located in the heart of the early colonies in Williamsburg, Virginia. Established in 2006 we have rolled out a broad range of beer offerings and quickly established a reputation for fine beer. We operate a direct fired brick-clad Peter Austin brew house and ferment all our beers in state-of-the-art conical fermentors.","http://www.williamsburgalewerks.com/","2006","N","https://s3.amazonaws.com/brewerydbapi/brewery/2ONHw4/upload_fyDzSa-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2ONHw4/upload_fyDzSa-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2ONHw4/upload_fyDzSa-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","189-B Ewell Road","","Williamsburg","Virginia","23188","757-220-3670","","37.3207221","-76.7324337","Y","N","N","Y","micro","Micro Brewery","US","2006","United States","USA","","","","","",""
"Up1PZp","Willimantic Brewing Company","Our original Main Street Café was founded in 1991, and began operations as a small deli in the old Capitol Theatre building on Main Street in Willimantic, CT. Occupying both the lobby and concession area of the theatre, seating was limited to 50 people. After 3 years we were bursting at the seams and made the move to 877 Main Street, another historic building. There we expanded to a full service restaurant and featured American craft-brewed beers and an extensive menu.","http://willibrew.com/","1991","N","https://s3.amazonaws.com/brewerydbapi/brewery/6r5pyg/upload_rJ7cww-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/6r5pyg/upload_rJ7cww-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/6r5pyg/upload_rJ7cww-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-26 14:00:29","967 Main Street","","Willimantic","Connecticut","06226","860-423-6777","Sunday: 11:30 AM - 1:00 AM  Monday: 4:00 PM - 1:00 AM  Tuesday: 11:30 AM - 1:00 AM  Wednesday: 11:30 AM - 1:00 AM  Thursday: 11:30 AM - 1:00 AM  Friday: 11:30 AM - 2:00 AM  Saturday: 11:30 AM - 2:00 AM","41.7128629","-72.2172641","Y","N","N","Y","brewpub","Brewpub","US","1991","United States","USA","","http://willibrew.com/mailing_list.htm","","","",""
"ZsiKum","Willinger Brauhaus","","http://www.willinger-brauhaus.de/","1988","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","In den Kämpen 2","","Willingen","Hesse","34508","","","51.294358","8.604748","Y","N","N","Y","brewpub","Brewpub","DE","","Germany","DEU","276","","","","",""
"78kDjG","Willoughby Brewing Company","Serving the best food and craft beer in Lake County, featuring live entertainment 3 nights per week in an amazing atmosphere. Come see what's brewing!!","http://willoughbybrewing.com/","1998","N","https://s3.amazonaws.com/brewerydbapi/brewery/TAgaBk/upload_jVU3M9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/TAgaBk/upload_jVU3M9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/TAgaBk/upload_jVU3M9-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","4057 Erie St.","","Willoughby","Ohio","44094","440-975-0202","Mon - Wed: 11:00 am - 11:00 pm  Thu - Sat:	11:00 am - 2:00 am  Sun:	11:00 am - 11:00 pm","41.641386","-81.406621","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","","",""
"jST1sh","Wilmington Brewing","","","1994","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","111 Bryan Road","","Wilmington","North Carolina","28412","","","34.170868","-77.946875","Y","N","Y","N","micro","Micro Brewery","US","1994","United States","USA","","","1997","","",""
"LmBq28","Wiltse's Brew Pub and Family Restaurant","","http://wiltsebrewpub.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/jAoe87/upload_KQulGv-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jAoe87/upload_KQulGv-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jAoe87/upload_KQulGv-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","5606 North F 41","","Oscoda","Michigan","48750","517-739-2231","","44.4442387","-83.3453461","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","","",""
"iLlMCb","Winchester Brewing Company","Good Beer for Good People","http://winchesterbrewingcompany.webs.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/lBKttb/upload_t7FJR9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/lBKttb/upload_t7FJR9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/lBKttb/upload_t7FJR9-large.png","verified","Verified","2012-01-03 02:41:33","2014-11-03 12:52:53","1950 Abrams Creek Dr","","Winchester","Virginia","22601","","","39.1639505","-78.1697809","Y","N","Y","N","micro","Micro Brewery","US","","United States","USA","","","","","",""
