"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","hoursOfOperation","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","extendedAddress","yearClosed","mailingListUrl"
"GKdsWb","Pug Ryan's Steakhouse and Brewery","Located in Dillon, Colorado Pug Ryan's has been one of Summit County's best steakhouse and craft breweries since 1975. Come try our award winning brews with a great steak, prime rib or fresh seafood.","http://pugryans.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/U3n7zN/upload_O1EHA1-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/U3n7zN/upload_O1EHA1-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/U3n7zN/upload_O1EHA1-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","104 Village Place","Dillon","Colorado","80435","1-970-468-2145","Mon - Sun: 11:30 am - 2:00 am","39.6281622","-106.0465137","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"seMgg2","Pugsley Brewing LLC","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Portland","Maine","","","","43.659145","-70.256654","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"Uy5UpT","Pumphouse Brewery & Restaurant","","http://pumphousebrewery.com/","1996","N","https://s3.amazonaws.com/brewerydbapi/brewery/ihEkIF/upload_Bkw1OE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ihEkIF/upload_Bkw1OE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ihEkIF/upload_Bkw1OE-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","540 Main Street","Longmont","Colorado","80501","(303) 702-0881","Mon - Wed: 11:00 am - 12:00 pm  Thu - Sat: 11:00 am - 1:00 am  Sun: 11:00 am - 12:00 pm","40.1688137","-105.1023147","Y","N","N","Y","micro","Micro Brewery","US","1996","United States","USA","","","",""
"7HoIyu","Pumphouse Pizza and Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Lake Delton","Wisconsin","","","","43.589135","-89.792834","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"KsbVTn","Pure Order Brewing Co.","Pure Order Brewing Company produces it's beer in the spirit of the ancient German ""Reiheitsgebot"" which required that only four ingredients (hops, malt, yeast and water) could be used in beer production.     Combining this tradition with the Santa Barbara lifestyle has made for a truly unique and satisfying beer that has the flavors of the richest German styles but with the relaxed drinkability that Santa Barbara inspires.     Pure Beer. Pure Local. Pure Order.","http://www.pureorderbrewing.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/hQzCbn/upload_O0t35M-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/hQzCbn/upload_O0t35M-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/hQzCbn/upload_O0t35M-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","410 N Quarantina St","Santa Barbara","California","93103","(805) 966-2881","","34.423758","-119.686574","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"jbX78L","Purgatory Brewery LLC","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Las Animas","Colorado","","719-456-0797","","38.07269","-103.23188","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","PO Box 102","",""
"teNvBQ","Purity Brewing Co","One of the fastest growing craft breweries in the UK, producing three award-winning beers.","http://www.puritybrewing.com/","2005","N","https://s3.amazonaws.com/brewerydbapi/brewery/fCroxq/upload_bjuUbQ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/fCroxq/upload_bjuUbQ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/fCroxq/upload_bjuUbQ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Upper Spernall Farm","Great Alne","Warwickshire","B49 6JF","01789 488007","9 - 5 weekdays  10 - 1 Saturdays  Closed on Sundays","52.2417579","-1.8440071","Y","N","N","Y","micro","Micro Brewery","GB","2005","United Kingdom","GBR","826","Off Spernal Lane","","http://www.puritybrewing.com/"
"LvFvHm","Put-in-Bay Brewing Company","","http://putinbaybrewery.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","441 Catawba Avenue","Put-in-Bay","Ohio","43456","419-285-4677","","41.6529552","-82.8196493","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","",""
"yEyjRD","Seattle Home Office","Based in the Pacific Northwest, Pyramid Breweries began as Hart Brewing in 1984 and launched the flagship brand of Pyramid Ales.  In 1996, the company was reborn as Pyramid Breweries and currently offers craft beers produced under the Pyramid family of ales and lagers.  With breweries in Seattle, WA, Portland, OR, and Berkeley, CA, Pyramid also owns Alehouses at all three locations and an additional Alehouse in Walnut Creek, CA.","http://www.pyramidbrew.com/","1984","N","https://s3.amazonaws.com/brewerydbapi/brewery/By7ytz/upload_pTbwo7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/By7ytz/upload_pTbwo7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/By7ytz/upload_pTbwo7-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","91 S Royal Brougham Way","Seattle","Washington","98134","(206) 682-8322","","47.5924","-122.3351834","N","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","http://www.pyramidbrew.com/newsletter"
"h88zok","Berkeley","","http://www.pyramidbrew.com/alehouses/berkeley","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","901 Gilman Street","Berkeley","California","94710","510-528-9880","Day Dining   Monday - Thursday 11:30am - 10:00pm   Friday 11:30am - 11:00pm   Saturday 11:30am - 11:00pm   Sunday 11:30am - 10:00pm","37.879624","-122.300147","N","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"JRrnyB","Seattle","","http://www.pyramidbrew.com/alehouses/seattle","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1201 First Avenue South","Seattle","Washington","98134","206-682-3377","Day Dining   Monday - Thursday 11:00am - 10:00pm   Friday 11:00am - 11:00pm   Saturday 11:00am - 11:00pm   Sunday 11:00am - 9:00pm","47.5920122","-122.3346949","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"dPSuK7","Portland","","http://www.pyramidbrew.com/alehouses/portland","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2730 NW 31st","Portland","Oregon","97210","503-228-5269","Monday	11:00am - 9:00pm  Tuesday - Thursday	11:00am - 10:00pm  Friday	11:00am - 11:00pm  Saturday	12:00pm - 11:00pm  Sunday	12:00pm - 9:00pm","45.541628","-122.713737","N","N","N","Y","restaurant","Restaurant/Ale House","US","","United States","USA","","","",""
"FjBiTY","Sacramento","","http://www.pyramidbrew.com/alehouses/sacramento","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1029 K Street","Sacramento","California","95814","916-498-9800","Monday - Thursday	11:30am - 9:00pm  Friday	11:30am - 11:00pm  Saturday	12:00pm - 10:00pm  Sunday	12:00pm - 7:00pm","38.5791177","-121.4929869","N","N","Y","Y","micro","Micro Brewery","US","","United States","USA","","","2013",""
"s2uWcz","Walnut Creek","","http://www.pyramidbrew.com/alehouses/walnut-creek","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1410 Locust Street","Walnut Creek","California","94596","925-946-1520","Monday - Tuesday	11:30am - 10:00pm  Wednesday - Thursday	11:30am - 10:30pm  Friday - Saturday	11:30am - 11:00pm  Sunday	11:30am - 10:00pm","37.8991595","-122.0619714","N","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"aYhXae","Qingdao Brewery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hongkong Road, Central","Qingdao","Shandong","","","","36.082748","120.350311","Y","N","N","Y","micro","Micro Brewery","CN","","China","CHN","156","","",""
"bDjAl6","Quaff Bros","Quaff Bros. is the gypsy beer label owned and operated by the Party Source in Bellevue, Ky. It allows local breweries to showcase their talent through barrel aging projects.","http://quaffbrosbeer.com","2008","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","95 Riviera Drive","Bellevue","Kentucky","41073","","","39.100314","-84.487595","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"qZJOHj","Quaff On! Brewing Company","Quaff: To drink heartily and with gusto!    At Quaff ON! Brewing Company, 'Gusto' is part of everything we do. Our hand-crafted beers reflect our passion for the brewer's art and our commitment to creating beers that excite and delight the quaffer's palette.  Quaff ON! Brewing Company was formed in 2012 in response to the demand for the iconic craft beers we developed at Big Woods Brewing Company, our brewpub located in the heart of Brown County Indiana. Why 'Quaff ON!'? Because from the day Big Woods threw open its doors in 2009, Quaff ON! has been the rallying cry, the toast, and the salutation of our loyal fans.  When Big Woods founders Jeff McCabe, Tim O'Bryan and Ed Ryan decided to create Quaff ON! Brewing Company, they had one Master Brewer in mind to take Busted Knuckle Ale, Hare Trigger IPA, Six Foot Blonde and Timid Virgin Pale to new heights and a larger market. That Brewer is Mark Havens, whose reputation as a talented and committed 'creator of craft beers' is well known. Mark came on board in time to lend a hand in the conversion of our 60 year old bowling alley into the Quaff ON! brewing facility.  Once Mark got the new brewery up and running and our original Big Woods recipes were in production, Mark began introducing new beers, including Yellow Dwarf Wheat, a hopped up wheat that begs to be quaffed and Sadie the Goat Brown Ale, a hearty homage to the substantial beers quaffed by river pirates 2 centuries ago.  Currently Quaff ON!'s beers are distributed all over Indiana. Look for us at your favorite watering hole and in the craft beer section at package stores throughout the state. If Quaff ON! is not served at your favorite place, send us a note and we'll get it in there! If you're travelling our way, stop in and see us in Brown County and visit us in Nashville at Big Woods Village where you can enjoy fine craft beer, great food and the best in local entertainment.    ""Love all, trust a few, do wrong to none."" - William Shakespeare","http://www.bigwoodsbeer.com/","2009","N","https://s3.amazonaws.com/brewerydbapi/brewery/f8oZ5j/upload_4Y9OeY-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/f8oZ5j/upload_4Y9OeY-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/f8oZ5j/upload_4Y9OeY-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","60 Molly Ln","Nashville","Indiana","47448","813-988-6000","Mon - Thur: 11:30am - 9pm  Fri - Sat: 11:30am - 10pm  Sun: 11:30am - 9pm","39.2079575","-86.2484171","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","",""
"IMLxKY","Quantum Brewing","","http://www.quantumbrewingsd.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/EaoR0H/upload_Baqm6m-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/EaoR0H/upload_Baqm6m-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/EaoR0H/upload_Baqm6m-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-25 12:12:20","5375 Kearny Villa Rd","San Diego","California","92123","","","32.830583","-117.1386703","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"CsQLk5","Quarry Brewing","Quarry Brewing, L.L.C., located in historic uptown Butte, Montana, has brought handcrafted beer back to the mining city after a 40-year absence.    Chuck and Lyza Schnabel opened the Quarry on September 29, 2007. It has since garnered rave reviews from everyone who has tasted any one of the traditional-style ales produced on site.    Chuck, our Brewer, continues to brew rich, flavorful beers with only the finest ingredients available: choice hops, barley, yeast and filtered water. One taste will tell you: We Dig Beer!","http://www.wedigbeer.com/","2007","N","https://s3.amazonaws.com/brewerydbapi/brewery/nKDCcy/upload_jwG5pe-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nKDCcy/upload_jwG5pe-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nKDCcy/upload_jwG5pe-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","124 West Broadway","Butte","Montana","59701","406-723-0245","Monday - Saturday: 1:00 - 8:00 p.m.    Sunday: 1:00 - 6:00 p.m.","46.013472","-112.538404","Y","N","N","Y","micro","Micro Brewery","US","2007","United States","USA","","","",""
"pC99tW","Quay Street Brewing Company","The Quay St. Brewing Company is located on the banks of the Black River in beautiful downtown Port Huron. A unique restaurant, bar and brewery, Quay St. provides a family, friendly, casual dining experience. We offer featured half-sandwich lunch specials as well as exquisite and affordable dinner entrees. And delicious micro-brewed beer is always fresh, cold and on tap! Stop in TODAY!","http://quaybrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/62WKns/upload_eLWGRg-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/62WKns/upload_eLWGRg-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/62WKns/upload_eLWGRg-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","330 Quay Street","Port Huron","Michigan","48060","810-982-4100","Mon - Wed: 11:30 am	 - 11:00 pm  Thu - Sat:	11:30 am - 1:00 am  Sun:	12:00 pm - 8:00 pm","42.9757296","-82.4232515","Y","N","Y","N","brewpub","Brewpub","US","","United States","USA","","","2013",""
"3DepOd","Queen City Brewery","15 barrel brew operation.","http://queencitybrewery.com/","2014","N","","","","verified","Verified","2012-01-03 02:41:33","2014-09-07 17:50:53","703 Pine St","Burlington","Vermont","05401","","Thu:  3:00pm - 7:00pm Fri:  3:00pm - 7:00pm Sat:  3:00pm - 7:00pm Sun:  1:00pm - 5:00pm  ","44.4594923","-73.2150952","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"RVry2x","Queen City Brewing","A great little brewery with 10 beers on tap to fill your growler with or you can even brew your own.","http://www.queencitybrewing.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/F5LuLZ/upload_IueHaQ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/F5LuLZ/upload_IueHaQ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/F5LuLZ/upload_IueHaQ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","834 Spring Hill Road","Staunton","Virginia","24401","540-213-8014","","38.163007","-79.0825295","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"i0lkrf","Queens Brewery","It is difficult to argue with the more than 2.2 million reasons why our borough of Queens deserves a great brewery.    Collectively, we are a global phenomenon of old and new world beer drinkers from the first settlements of Maspeth, Flushing & Jamaica. We are small business owners hailing the streets of Jackson Heights, Long Island City & Astoria pursuing the Queensmerican dream. We are die-hard Mets fans, not fully understanding the meaning of 7th-inning-stretch, huddled together at the Cuckoo's Nest for 10 innings of Game 6. We are fearless graffiti artists leaving marks of immortality and demarcation at 5Pointz & PS1. We are the roar of the crowd smashing pint glasses from Arthur Ashe as Sampras serves us five heart-stopping U.S. Open Titles. We are more than 72 million passengers of JFK & La Guardia swapping stories of 16oz conquests with perfect strangers. We are Whitestone's New York Times bringing you the American iconic Sunday crossword as you sip your favorite hops over morning brunch. We are the world within a borough, and we celebrate it distinctively.    We are Queens Brewery, The Melting Barrel.","http://www.queensbrewery.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/TZFee5/upload_9JvwG7-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/TZFee5/upload_9JvwG7-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/TZFee5/upload_9JvwG7-large.png","verified","Verified","2012-01-03 02:41:33","2014-08-11 11:32:28","","Queens","New York","","","","40.75","-73.866667","Y","N","N","N","office","Office","US","","United States","USA","","","",""
"TZFee5","Quest Brewing Company","Quest Brewing Company officially started becoming a reality in January 2012.  That is when Don Richardson and Andrew Watts met for the first time; each with thoughts of opening up a microbrewery in Greenville, SC.  Both had put together plans for their company vision and, as luck would have it, those plans mirrored each other!  The two joined forces and Quest Brewing Company was founded.    Once the business was formed, a brewery name was needed.  After weeks of brainstorming, the name ‘Quest’ rose to the top of our list.  We wanted a name that emulates that passionate and adventurous spirit of the Greenville community.    ”People in Greenville are always on some kind of quest.  Whether it is to bike the entire Swamp Rabbit Trail or hike Table Rock, there is a very adventurous spirit here.  We wanted to embrace that.” -Quest’s Andrew Watts    Quest’s beer is meant to be premium and sought-after, much like a goal or quest.  The next time you are in Greenville, make it your quest to visit all our town has to offer.  Head to Falls Park.  Enjoy Main Street.  Most importantly, enjoy one of Quest’s hand-crafted beers!","http://questbrewing.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/TlBAjN/upload_LOk2d8-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/TlBAjN/upload_LOk2d8-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/TlBAjN/upload_LOk2d8-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","55 Airview Drive","Greenville","South Carolina","29607","864-272-6232","TUE 4:00PM-8:00PM  WED 4:00PM - 8:00PM  THUR 4:00PM - 9:00PM  FRI 4:00PM - 9:00PM  SAT 12:00PM - 9:00PM","34.846625","-82.34507","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","",""
"3pamCO","Quigleys","Former brewer at Liberty Brewpub in Myrtle Beach is the owner/brewer at this new brewpub in the middle of golf country.","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","257 Willbrook Blvd","Pawleys Island","South Carolina","29585","(843) 237-7010","","33.4844602","-79.0974805","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"g9JaLp","R&B Brewing Company","R&B Brewing Co. has always been, and will always be, just about as independent of a microbrewery as you’ll come across. Founded in 1997 by longtime friends and co-workers Rick Dellow and Barry Benson (the ‘R’ & ‘B’, respectively), R&B Brewing Co. was set up to stand in opposition to what the beer world had become – big, non-descript, faceless, and corporate. Combining over 60 years of brewing experience with some of the big guys, Rick and Barry sought to create deliciously hand crafted ales and lagers that would bear no resemblance to the world of big beer. Full-bodied and distinctly rich beer, using only the choicest malts, hops and yeast, would be the focus of the product, while the co-owners personalities would blend to create the marketing milieu – edgy, young, independent…definitely East Van.","http://www.r-and-b.com/","1997","N","https://s3.amazonaws.com/brewerydbapi/brewery/2vIPMI/upload_b2w85l-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/2vIPMI/upload_b2w85l-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/2vIPMI/upload_b2w85l-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","54 East 4th Ave.","Vancouver","British Columbia","V5T 1E8","1-604-874-2537","","49.267381","-123.103715","Y","N","N","Y","micro","Micro Brewery","CA","1997","Canada","CAN","124","","",""
"lUetRM","Raasted Bryghus","","http://raasted-bryghus.dk/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Hobrovej 358","Råsted Randers","","8900","","","56.459375","10.035795","Y","N","N","Y","micro","Micro Brewery","DK","","Denmark","DNK","208","","",""
"Kc8wlg","Rabbit Hole Brewing","Rabbit Hole Brewing is a craft brewery located in Justin, Texas which strives to create and maintain local, regional, and statewide brand recognition and loyalty with an inspired beer portfolio. Our focus is on producing high quality product which includes market under-represented beer styles, and new and unique interpretations of regional favorites. We insist on the same high quality of service and delivery of our product as we maintain during its production.","http://www.rabbitholebrewing.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/d4TIzB/upload_NqecI2-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/d4TIzB/upload_NqecI2-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/d4TIzB/upload_NqecI2-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-07 19:03:44","608 Topeka Ave","Justin","Texas","76247","940-441-3528","","33.089849","-97.2923792","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"WrDH8U","Rabbit's Foot Meadery","Rabbit’s Foot Meadery produces award winning mead - honey wine, hard ciders and our famous braggot. Our recipes and methods have been perfected over a period of more than fifteen years and combine the latest in fermentation technology with historical recipes to create unique mead - honey wine in a style that is like no other. All of our mead, ciders, dessert mead and braggots-honey ales, are produced using the finest honey available without the addition of added sulfites.    Our braggots are styled after many traditional ales but with a major twist - there is lots of honey added during fermentation. Sometimes up to 50% of the fermentable sugar. In many cases while they are modeled after more traditional styles, they are unique and stand on their own. Typically lower in hop aroma and bitterness to allow the honey to shine they are still quite enjoyable.","http://www.rabbitsfootmeadery.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/fHOraf/upload_cfjI0p-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/fHOraf/upload_cfjI0p-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/fHOraf/upload_cfjI0p-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1246 Birchwood Dr","Sunnyvale","California","94089","408-747-0770","","37.404824","-121.992496","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"NoNhan","Rabid Squirrel Brewery","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3220 Peninsula Road #261","Oxnard","California","93035","","","34.171825","-119.225179","Y","Y","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"9Aw5Hv","Raccoon Lodge & Brewpub","The Raccoon Lodge & Brew Pub is a family friendly restaurant and brew pub that offers comfort food alongside upscale pub fare. The building is also home to Cascade Brewing, which is praised for its Northwest sour style beers.","http://www.raclodge.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Hb7fk6/upload_9gI5Y0-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hb7fk6/upload_9gI5Y0-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Hb7fk6/upload_9gI5Y0-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7424 SW Beaverton-Hillsdale Hwy","Portland","Oregon","97225","(503) 296-0110","Mon - Fri:	11:30 am - 10:00 pm  4:00 pm - 11:00 pm  Sat:	11:30 am - 10:00 pm  10:00 am - 11:30 pm  Sun:	11:30 am - 9:00 pm  10:00 am - 11:00 pm","45.486062","-122.752965","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"IT2OVG","Raccoon River Brewing","","http://www.raccoonbrew.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","200 North Tenth Street","Des Moines","Iowa","50309","1-515-362-5222","Mon - Thu:	11:00 am - 12:00 am  Fri - Sat:	11:00 am - 2:00 am","41.584088","-93.629522","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
"086VkE","Race Street Brew Works","We love beer! So much to the extent that we decided to make our own. With over 50 years of drinking experience between us we believe that our ales and lagers have benefited from our longevity and knowledge. Feel free to contact us at anytime to learn more about us and our hand crafted suds. If'n you hadn't had a Race Street Brew before we wouldn't be suprised. We would be suprised though if you had one and didn't like it. Browse our site and learn about the different beers we have to offer and what we're getting into.","http://racestreetbrew.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","161 1/2 Race Street","Clearfield","Pennsylvania","16830","(814) 761-7010","","41.032033","-78.441396","Y","N","N","N","micro","Micro Brewery","US","","United States","USA","","","",""
"cRpJtf","Radbrauerei Gebr. Bucher","","http://www.guenzburger-weizen.de/","1590","N","https://s3.amazonaws.com/brewerydbapi/brewery/ks0uLq/upload_kFxjEp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ks0uLq/upload_kFxjEp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ks0uLq/upload_kFxjEp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Peter-Henlein-Str. 8","","Günzburg","89312","08221/20772-0","","48.474159","10.273645","Y","N","N","Y","micro","Micro Brewery","DE","1590","Germany","DEU","276","","",""
"umlCeh","Radeberger Exportbierbrauerei","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Dresdener Strae 2","Radeberg","Sachsen","","49-(0)3528-/-454-0","","51.1148482","13.9150435","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","276","","",""
"ElY836","Radeberger Gruppe","","http://www.radeberger-gruppe.de/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","","","","","","","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","276","","",""
"r0jtZi","Main Office","Radiant Pig Craft Beers began as a pipe dream for a couple of homebrewers in a small Manhattan apartment. After years of perfecting recipes, countless hours of researching (drinking beer) and a ton of trips to Brooklyn fetching ingredients, we finally got our very own brewing business off the ground. In February 2013, we brewed our first commerical batch of our flagship beer, Junior.","http://radiantpigbeer.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/0FUzCh/upload_mQY9kM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/0FUzCh/upload_mQY9kM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/0FUzCh/upload_mQY9kM-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","122 W 27th St,","New York","New York","10001","","","40.7457319","-73.992309","Y","N","N","N","office","Office","US","2012","United States","USA","","Suite 1022","",""
"YMxo1d","Radigks Brauhaus","","http://www.finsterwalder-brauhaus.de/","1997","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Sonnewalder Straße 13","Finsterwalde","Brandenburg","03238","","","51.61088","13.651065","Y","N","N","Y","micro","Micro Brewery","DE","","Germany","DEU","276","","",""
"X6U0o8","Rahr & Sons Brewing Company","The story of Rahr & Sons Brewing Co. really starts when Fritz Rahr graduated from Texas Christian University. Fortunately for beer lovers in North Texas, Fritz not only fell in love with Fort Worth, but also fell in love with his future wife here. And in another fortuitous twist for all of us, Fritz’s wife, Erin, gave him the thumbs up when he announced that he would like to carry on the Rahr family tradition of brewing.    Fritz and Erin founded Rahr & Sons Brewing Co. in the fall of 2004. In five years, the brewery has more than doubled its brewing capacity - from 2,000 barrels per year to over 5,000 barrels per year and has won fifteen nationally-recognized awards, including a Bronze Medal at the 2008 World Beer Cup for Bucking Bock and 2009 National Grand Champion from the United States Beer Tasting Championships for Iron Thistle.","http://www.rahrbrewery.com/","2004","N","https://s3.amazonaws.com/brewerydbapi/brewery/WCBdy2/upload_q2wS2m-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/WCBdy2/upload_q2wS2m-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/WCBdy2/upload_q2wS2m-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-29 16:04:43","701 Galveston Avenue","Fort Worth","Texas","76104","817-810-9266","Wed:5:00 pm - 7:30 pm  Sat:1:00 pm - 3:00 pm","32.7368128","-97.3275585","Y","N","N","Y","micro","Micro Brewery","US","2004","United States","USA","","","",""
"ljvd70","Rail House Restaurant and Brewpub","","http://www.railhousebrewpub.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2029 Old Peshtigo Road","Marinette","Wisconsin","54143","1-715-732-4646","","45.085137","-87.654354","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","",""
