"id","name","description","website","established","isOrganic","images__icon","images__medium","images__large","status","statusDisplay","createDate","updateDate","streetAddress","locality","region","postalCode","phone","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","yearOpened","displayName","isoThree","numberCode","hoursOfOperation","extendedAddress","mailingListUrl","yearClosed"
"CNssOn","Foley Brothers Brewing","Foley Brothers Brewing is part of the family-run Neshobe River Brewing Company located in Brandon, VT.","","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/4qnpkF/upload_E9ali3-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/4qnpkF/upload_E9ali3-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/4qnpkF/upload_E9ali3-large.png","verified","Verified","2012-01-03 02:41:33","2014-10-13 15:14:50","79 Stone Mill Dam Rd","Brandon","Vermont","05733","802-247-8002","43.8116259","-73.076523","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Wed:  11:00am - 5:00pm Thu:  11:00am - 5:00pm Fri:  11:00am - 5:00pm Sat:  11:00am - 5:00pm Sun:  11:00am - 5:00pm  ","","",""
"K0SXBa","Folklore Brewing & Meadery, LLC","","http://www.folklorebrewing.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","268 Hagler Rd","Dothan","Alabama","36301","","31.148652","-85.394785","Y","Y","N","N","micro","Micro Brewery","US","","United States","USA","","","","",""
"wKBLL1","Folx-les-Caves","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","B-1350 Jauche","Jauche","Brabant Wallon","","","50.68217","4.95593","Y","N","N","Y","micro","Micro Brewery","BE","","Belgium","BEL","56","","","",""
"AH9yDJ","Fonta Flora Brewery","Fonta Flora Brewery integrates the soul of agriculture with the artisanship of zymurgy to create a menagerie of rustic and savory libations. With an emphasis on seasonal flora, Fonta Flora brings English tradition and Belgian inspiration to the Appalachian mountains of North Carolina. Fonta Flora utilizes local artists to help conceptualize the notion that fermentation is yet another medium for creating art. This uniquely artisan approach to beer yields a sustainable product filled with culture from our very own community.","http://www.fontaflora.com/","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/mmoIS2/upload_3OjIUn-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/mmoIS2/upload_3OjIUn-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/mmoIS2/upload_3OjIUn-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","317 N. Green Street","Morganton","North Carolina","28655","(828) 475-0153","35.7478209","-81.6914461","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","Mon: 5:00 pm - 9:00 pm  Thu - Fri: 5:00 pm - 10:00 pm  Sat: 12:00 pm - 10:00 pm  Sun: 12:00 pm - 7:00 pm","","",""
"bwZoGc","Foolproof Brewing Company","Foolproof Brewing Company in Pawtucket, Rhode Island, produces high-quality, hand-crafted beers. Each of our beers is designed with a specific experience in mind.","http://highjinxbeer.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/H5sA73/upload_NKxipV-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/H5sA73/upload_NKxipV-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/H5sA73/upload_NKxipV-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","241 Grotto Avenue","Pawtucket","Rhode Island","02860","","41.869837","-71.408217","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"Ydu9US","Foothills Brewing Company","Welcome to FOOTHILLS BREWING.  Foothills Brewing began in 2004 in Winston-Salem, NC, and has evolved into one of the top craft brewing operations in the southeast United States. Ranked among ratebeer.com’s 100 best breweries in the world, Foothills has garnered numerous awards for their beers, including seven Great American Beer Festival medals and three World Cup Beer medals, more than any other North Carolina-based brewery.    Foothills brews more than twenty year-round and seasonal offerings, including best sellers Hoppyum IPA and Carolina Blonde. Year-round brands also include People’s Porter, Torch Pilsner and Jade IPA; seasonals include Cottonwood Pumpkin and the highly anticipated Sexual Chocolate Imperial Stout. Foothills, Cottonwood and Carolina brands are distributed by a network of top-level distributors in North Carolina, South Carolina, Tennessee, Virginia, and Washington D.C.","http://www.foothillsbrewing.com/","2004","N","https://s3.amazonaws.com/brewerydbapi/brewery/ajREdT/upload_o6LJnp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ajREdT/upload_o6LJnp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ajREdT/upload_o6LJnp-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-21 15:12:59","638 W. 4th Street","Winston-Salem","North Carolina","27101","336-777-3348","36.097341","-80.250882","Y","N","N","Y","brewpub","Brewpub","US","2004","United States","USA","","Mon:  11:00am - 2:00am Tue:  11:00am - 2:00am Wed:  11:00am - 2:00am Thu:  11:00am - 2:00am Fri:  11:00am - 2:00am Sat:  11:00am - 2:00am Sun:  11:00am - 2:00am  ","","http://www.mynewsletterbuilder.com/tools/subscription.php?username=foothillsbrew&action=email&email=&send_id=84511535&newsletter_id=1409614862",""
"qibj4Q","Foothills Brewing","","http://foothillsbrewing.com","","","","","","verified","Verified","2012-01-03 02:41:33","2014-09-21 15:12:59","3800 Kimwell Drive","Winston-Salem","North Carolina","27101","336-354-4029","36.045353","-80.323159","N","N","N","Y","production","Production Facility","US","","United States","USA","","","","",""
"pOmiGZ","Foothills Brewing","","http://foothillsbrewing.com","","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-09-21 15:12:33","638 West 4th Street","Winston-Salem","NC","27101","336-777-3348","36.097341","-80.250882","Y","N","N","Y","brewpub","Brewpub","US","2005","United States","USA","","11am - 2am every day","","",""
"nxZE0F","Forbidden Root Brewing","Forbidden Root is introducing a new line of craft botanical beer using natural ingredients including herbs, spices, barks, roots, honeys, stems, seeds, nuts, vanilla bean and cacao beans. We brew our beers in Chicago, IL with all natural ingredients and inspiration from early American brewing – when native plants and botanicals were a natural part of the rich, delicious beers of that forgotten era.","http://www.forbiddenroot.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/IExTs5/upload_5WTKQa-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/IExTs5/upload_5WTKQa-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/IExTs5/upload_5WTKQa-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-25 14:22:13","","Chicago","Illinois","60611","","41.8925085","-87.6161696","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"Axcxdt","Fordham Brewing Company","You have to hand it to Queen Anne; she knew way back in 1703 that you couldn’t start a colony without good local brews.  That’s why she asked young Benjamin Fordham to start a brewery in the new port of Annapolis. Benjamin’s passion and dedication to making the highest quality brews were evident in every pint and the colony flourished!    Almost 300 years later, Fordham brewing was re-born in the heart of Annapolis in 1995.  With the ever-increasing demand, this frothing Fordham giant was more than our small brewery could handle. In an effort to provide more people with our brews, our plucky staff grabbed our recipes and moved Fordham to its new castle in Dover, Delaware…a brand new stainless steel castle of opportunity!    Despite geographical changes, our brewery is happy and healthy in Dover, and more productive than ever before. Fordham Brewing remains true to its roots, its recipes and Annapolis heritage.","http://fordhambrewing.com/","1703","N","https://s3.amazonaws.com/brewerydbapi/brewery/D3A2mu/upload_t7trmp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/D3A2mu/upload_t7trmp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/D3A2mu/upload_t7trmp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1284 McD Drive","Dover","Delaware","19901","302-678-4810","39.1540034","-75.4883626","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"jDCID3","Forest & Main Brewing Company","Nestled in a victorian-style house dating from the 1880s, Forest & Main, Brewery & Pub, in Ambler, Pa. creates old world style ales, and seasonally inspired dishes.","http://forestandmain.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/8PE0wl/upload_eGw8cp-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/8PE0wl/upload_eGw8cp-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/8PE0wl/upload_eGw8cp-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","61 N. Main Street","Ambler","Pennsylvania","19002","(215) 542-1776","40.15533","-75.225059","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Tue - Sun: 4:00 pm - 12:00 am","","",""
"FkNXW1","Forge Brew Works","Forge Brew Works is a Northern Virginia Micro Brewery opening in Summer of 2013","http://www.forgebrewworks.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/jDCID3/upload_F5UFDC-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jDCID3/upload_F5UFDC-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jDCID3/upload_F5UFDC-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","8532 Terminal Rd","Lorton","Virginia","22079","","38.7274532","-77.1960066","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","Suite L","",""
"8snumd","Forgotten Boardwalk Brewing","Forgotten Boardwalk Brewing exists to spark curiosities through our craft beer and folklore. We will be offering a high standard of beer with an artisanal attention to detail. Forgotten Boardwalk and our beer will engage your curiosity by empowering the drinker to learn more about the process, its ingredients, and with tall tales to match.    Forgotten Boardwalk Brewing will be opening its doors in May and all are welcome.","http://www.forgottenboardwalk.com","","N","https://s3.amazonaws.com/brewerydbapi/brewery/Wl0ciU/upload_ZCwlqO-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wl0ciU/upload_ZCwlqO-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wl0ciU/upload_ZCwlqO-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1940 Olney Avenue","Cherry Hill","New Jersey","08003","(856) 437-0709","39.912138","-74.970075","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"zwAzew","Former Future Brewing Company","Former, meet Future.  It’s simple, really.  We take historical recipes, deconstruct them, and place our own futuristic interpretation into them.  We reconstruct them, but in ways you may not expect.  Our taproom displays our brewing process from laboratory to tap.  The Former Future staff is service and beer focused.  All of our friendly, down-to-Earth employees are certified by the Cicerone program and are card-carrying beer geeks.","http://www.formerfuturebrewingcompany.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/SaQFBA/upload_79yH7r-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/SaQFBA/upload_79yH7r-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/SaQFBA/upload_79yH7r-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1290 South Broadway","Denver","Colorado","80210","(720) 441-4253","39.6933943","-104.9871437","Y","N","N","Y","micro","Micro Brewery","US","2014","United States","USA","","Wed-Thu 4:00pm-10:00pm  Fri 2:00pm-10:00pm  Sat noon-10:00pm  Sun 11:00am-10:00pm","","",""
"nAfKcc","Forrest Brewing Company","Forrest Brewing Company is equal parts microbrewery, eating place and mountain biking hang-out located in the Otways Hinterland township of Forrest.    Brother and sister duo Matt and Sharon Bradshaw resurrected and rebuilt the former general store in Forrest, opening its doors in late 2010. The Forrest Brewing Company embodies all of the things to love about life, great beer, informal eating, good people, mountain biking and some occassional fishing all surrounded by an active community and beautiful environment.","http://www.forrestbrewing.com.au/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/Yj9EP2/upload_d7A5no-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Yj9EP2/upload_d7A5no-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Yj9EP2/upload_d7A5no-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Apollo Bay Road","Forrest","Victoria","3236","03 5236 6170","-38.5380769","143.7081169","Y","N","N","Y","brewpub","Brewpub","AU","","Australia","AUS","36","Thursdays 10 - late, serving lunch & dinner      THURSDAY NIGHT IS LOCAL'S CURRY NIGHT, CURRY & A POT $20    Friday 9 - late, serving lunch & dinner    Saturday 9 - late, serving breakfast, lunch & dinner    Sunday 9 - 5, serving breakfast, lunch","","",""
"xnmTgH","Fort Bend Brewing Company","Fort Bend Brewing, Fort Bend's First Craft Brewery, combines creativity, the Texas state-of-mind, with high quality ingredients to make exquisite craft beers.","http://fortbendbrewing.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/KrPgRK/upload_wUx9Q8-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/KrPgRK/upload_wUx9Q8-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/KrPgRK/upload_wUx9Q8-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","13370 South Gessner Rd","Missouri City","Texas","77489","(281) 769-8618","29.628097","-95.539407","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","","","",""
"nHLlnK","Fort Collins Brewery","The Fort Collins Brewery is a family-owned, handcrafted brewery in Northern Colorado. FCB resides in a new 30,000 square foot facility with a full-size restaurant; Gravity 1020 Modern Tavern, offering a locally sourced menu and open seven days a week.     For more information, visit fortcollinsbrewery.com or call 970-472-1499.","http://www.fortcollinsbrewery.com/","2003","N","https://s3.amazonaws.com/brewerydbapi/brewery/pMsqwL/upload_cDQz6J-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/pMsqwL/upload_cDQz6J-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/pMsqwL/upload_cDQz6J-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1020 E. Lincoln Ave","Fort Collins","Colorado","80524","970-472-1499","40.58878","-105.059556","Y","N","N","Y","micro","Micro Brewery","US","2003","United States","USA","","Mon - Wed: 11:00 am	 - 6:00 pm  Thu - Sat: 11:00 am - 7:00 pm","","",""
"O3AeVj","Fort Garry Brewing Company Ltd.","FORT GARRY is Manitoba’s oldest microbrewery. Established in 1930, our recipes and brewing techniques are a time honoured tradition that have been passed down through the generations. Only the finest raw ingredients are used to brew our fine ales and lagers. Our line up of products includes our world-famous Fort Garry Dark, Fort Garry Light, Fort Garry Pale Ale, Fort Garry Rouge and Frontier Pilsner.     Fort Garry also distributes brands in Manitoba for our sister brewery in British Columbia, Russell Brewing Company. Fort Garry Brewing and Russell Brewing Company are wholly owned subsidiaries of Russell Breweries Inc.","http://www.fortgarry.com/","1930","N","https://s3.amazonaws.com/brewerydbapi/brewery/P3fflp/upload_WR7gRf-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/P3fflp/upload_WR7gRf-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/P3fflp/upload_WR7gRf-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","130 Lowson Crescent","Winnipeg","Manitoba","R3P 2H8","+1 204-487-3678","49.838619","-97.2059227","Y","N","N","Y","micro","Micro Brewery","CA","1930","Canada","CAN","124","Mon - Fri: 7:30 am - 3:30 am","","",""
"Pb4Zwl","Fort George Brewery","The Fort George Brewery + Public House was the original settlement site of Astoria founded in March 1811 by Captain Jonathan Thorn. In its heyday, Astoria was the Pacific Fur Company's primary fur trading post in the Northwest. Under temporary British authority it was renamed Fort George after King George the 3rd. In 1924 the Fort George Building was erected to house an automotive repair facility until the late 1990's. Briefly abandoned and sadly neglected, the Fort George building has been recently revitalized as a home to the Blue Schorcher Bakery and our brewpub. We are honored to play a part in the Fort and Astoria's renaissance.","http://www.fortgeorgebrewery.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/EqYxQd/upload_nFJm05-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/EqYxQd/upload_nFJm05-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/EqYxQd/upload_nFJm05-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1483 Duane St.","Astoria","Oregon","97103","503-325-PINT","46.1885243","-123.8275961","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","",""
"CDcy6g","Fort Myers Brewing Company","Lee County's first microbrewery. Award winning craft ales brewed 7 barrels at a time.","","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/Wdc9G1/upload_rNCHt8-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wdc9G1/upload_rNCHt8-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Wdc9G1/upload_rNCHt8-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","12811 Commerce Lakes Dr","Fort Myers","Florida","33913","","26.5613654","-81.7441373","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","Thu: 4:00 pm - 10:00 pm  Fri: 3:00 pm - 10:00 pm  Sat: 12:00 pm - 10:00 pm  Sun: 12:00 pm - 7:00 pm","Suite 27-28","",""
"1HBpVG","Fort Point Beer Company","Fort Point Beer Company is a New American brewery - the product of a thriving American craft beer culture, shaped by deeply San Franciscan values: quality craftsmanship and a spirit of innovation. We create balanced, thoughtful beers that reference traditional styles but are by no means bound to them. For us, brewing is the confluence of creative expression and refined technique. We want our beers to tell a story, inspire an idea, and be thoroughly enjoyable.    Fort Point Beer Company was founded in 2014 by brothers Tyler and Justin Catalana in the Presidio of San Francisco. The brewery resides in an historic Presidio building that was formerly used as an Army motor pool. Being situated in this iconic landscape reinforces our pride in San Francisco and in the beer we brew. Head Brewer Mike Schnebeck has developed a deft and impassioned brewing style over the past years at Mill Valley Beerworks and leads the pioneering spirit of our beers.","http://fortpointbeer.com","2013","N","https://s3.amazonaws.com/brewerydbapi/brewery/neFESU/upload_wJ1XmM-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/neFESU/upload_wJ1XmM-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/neFESU/upload_wJ1XmM-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-25 19:24:13","644 Mason St","San Francisco","California","94129","(415) 906-4021","37.8029925","-122.4624779","Y","N","N","Y","micro","Micro Brewery","US","2013","United States","USA","","","","",""
"1unO6C","Fort Street Brewery","","http://fortstreetbeer.com/","","N","https://s3.amazonaws.com/brewerydbapi/brewery/C8NtC6/upload_N9PBcg-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/C8NtC6/upload_N9PBcg-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/C8NtC6/upload_N9PBcg-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1660 Fort Street","Lincoln Park","Michigan","48146","313-389-9620","42.252207","-83.176025","Y","N","N","Y","brewpub","Brewpub","US","","United States","USA","","","","",""
"DA4jUf","Fortnight Brewing Company","We believe that beer is a social beverage and good beer should be enjoyed with good friends. That is why we aim to bring a line of clean easy-drinking English inspired ales that everyone can enjoy to the Triangle area in late 2013.     We love beer with extreme flavors or high alcohol content as much as the next guy, but that's not for everyone, which is why we will be producing extremely balanced and flavorful beers at a lower alcohol level that will be easily approachable and everyone will be able to find a beer that they enjoy in our lineup.    Fortnight Brewing is a true partnership of local and English flavors. The company's ownership consists of both English citizens and North Carolina natives, and our beers will utilize premium English malts and hops as well as locally-grown ingredients.     Fortnight Brewing will be located in Cary NC with plans of opening in Summer or Fall of 2013. Keep your eyes open for a list of upcoming tasting events at your favorite area bottle shops, bars and restaurants!","http://fortnightbrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/nLP1fR/upload_8UgEeE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/nLP1fR/upload_8UgEeE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/nLP1fR/upload_8UgEeE-large.png","deleted","Deleted","2012-01-03 02:41:33","2014-07-23 19:11:34","","Raleigh","North Carolina","","","35.78551","-78.642669","N","Y","N","N","micro","Micro Brewery","US","","United States","USA","","","","",""
"03ZT7P","Fortnight Brewing","","http://fortnightbrewing.com/","","","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1006 SW Maynard Rd","Cary","North Carolina","27511","","35.777278","-78.801539","Y","N","N","Y","micro","Micro Brewery","US","2014","United States","USA","","","","",""
"aw4n0W","Fossil Cove Brewing Co.","","http://fossilcovebrewing.com/","2012","N","https://s3.amazonaws.com/brewerydbapi/brewery/Yzbn79/upload_r3OjtJ-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Yzbn79/upload_r3OjtJ-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Yzbn79/upload_r3OjtJ-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1946 N. Birch Avenue","Fayetteville","Arkansas","72703","(479) 445-6050","36.0880945","-94.1650654","Y","N","N","Y","micro","Micro Brewery","US","2012","United States","USA","","Wed - Thu: 4:00 pm - 10:00 pm  Fri: 4:00 pm - 11:00 pm  Sat: 2:00 pm - 11:00 pm  Sun: 2:00 pm - 10:00 pm","","",""
"eEWCFd","Fossil Fuels Brewing Co","","http://www.fossilfuelsbrewingco.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","45928 Omega Dr","Fremont","California","94539","510-381-5739","37.499712","-121.921318","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"GYF0P4","Foster's Australia Ltd.","Foster's Lager is the largest selling Australian beer brand in the world with more than 100 million cases of Foster's consumed worldwide every year. Brewed in nine countries and over 20 plants, Foster's Lager is widely sold and distributed throughout Australia, Asia, the Pacific, Europe, the Americas and the Middle East. It is the world's third most widely distributed brand, available in more than 150 countries. Foster's Lager is the international flagship brand for the Foster's group. -http://www.fosters.com.au/enjoy/beer/fosters_the_brand.htm","http://www.fostersbeer.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","","","","","","","Y","N","N","Y","micro","Micro Brewery","AU","","Australia","AUS","36","","","",""
"srxoYV","Fosters Tien Gang","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Thnh Pho Ho Ch Minh","Thnh Pho Ho Ch Minh","","","","46.8132","8.22395","Y","N","N","Y","micro","Micro Brewery","VN","","Viet Nam","VNM","704","","","",""
"VBgchw","Founder's Restaurant & Brewing","","","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","607 King Street","Alexandria","Virginia","22314","(703) 684-5397","38.804968","-77.046141","Y","N","Y","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"7VPQrN","Founders Brewing Company","Founders Brewing Company, founded by Mike Stevens and Dave Engbers produced its first beer in November of 1997. Built out of a dream and a passion for home brewing, what started out as a hobby quickly became a thriving business.  As the years have passed, Founders has built its brewery on the exploration of recipe development and brewing techniques. We are not the standard micro-brewery, rather we have traveled a path that breaks from the standard craft-brewer.    Carving a niche out of the craft industry, Founders Brewing Company has built its reputation on producing very unique beers. Our focus is to offer our wholesalers, retailers and consumers a product that stands alone on the shelf and offers a true drinking experience to our friends, the consumer.  As the years have passed, Founders has built its brewery on the exploration of recipe development and brewing techniques. We are not the standard micro-brewery, rather we have traveled a path that breaks from the standard craft-brewer. Carving a niche out of the craft industry, Founders Brewing Company has built its reputation on producing very unique beers. Our focus is to offer our wholesalers, retailers and consumers a product that stands alone on the shelf and offers a true drinking experience to our friends, the consumer.","http://www.foundersbrewing.com/","1997","N","https://s3.amazonaws.com/brewerydbapi/brewery/Idm5Y5/upload_5gYn8V-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Idm5Y5/upload_5gYn8V-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Idm5Y5/upload_5gYn8V-large.png","verified","Verified","2012-01-03 02:41:33","2014-09-12 11:45:52","235 Grandville Avenue SW","Grand Rapids","Michigan","49503","616-776-1195","42.9583375","-85.6738326","Y","N","N","Y","micro","Micro Brewery","US","1997","United States","USA","","","","",""
"woTHSe","","","","","","","","","deleted","Deleted","2012-01-03 02:41:33","2014-08-31 13:44:39","","","","","","","","N","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"jp8F0o","Founders Hill Brewing","","","","N","","","","update_pending","Update Pending","2012-01-03 02:41:33","2014-11-04 03:03:27","","Downers Grove","Illinois","","","41.8089191","-88.0111746","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"3IfemA","Founding Fathers Brewing Company","Did you know that the best selling beers in America are produced by foreign-owned companies?    As Americans we believe the values and ideas that motivated our Founding Fathers are worth conserving.    By developing a brand name that is associated with these same principles and beliefs, Americans will be able to pave the direction of our great Country with the purchase of the New American beer, Founding Fathers Lager and Light.    50% of all profits will be donated back to the families of our troops. Better Beer, Better Cause.    When you see a Founding Fathers label in your local grocery or watering hole, you will associate it with the level of excellence that has made America the greatest Country in the World.","http://foundingfathersbrewingco.com/","2010","N","https://s3.amazonaws.com/brewerydbapi/brewery/s7RZFo/upload_TyFACb-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/s7RZFo/upload_TyFACb-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/s7RZFo/upload_TyFACb-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1607 West Wayzata Blvd.","Orono","Minnesota","55356","952-767-6403","44.9846","-93.561724","Y","N","N","Y","micro","Micro Brewery","US","2010","United States","USA","","","","",""
"o3lsQF","Foundry Cider","","http://www.foundrycider.com","","N","","","","verified","Verified","2013-05-15 23:04:56","2013-05-29 13:21:25","","","","","","","","","","","","","","","","","","","","","",""
"M8r3AF","Fountain City Brewing Co / Monarch Public House","","http://www.monarchtavern.com/","","N","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","19 North Main Street","Fountain City","Wisconsin","54629","608-687-4231","44.1314632","-91.7174203","Y","N","N","Y","micro","Micro Brewery","US","","United States","USA","","","","",""
"N1ToDA","Fountain Square Brewing Company","Back in the Summer of 2011, we got the crazy idea to startup a brewery, not because we wanted to be on the bandwagon, but because we wanted something different, something our talents and passion for beer could make happen. Out technical background in Microbiology, Chemistry, and Automation, made up the perfect storm needed to produce quality beer with a higher level of consistency and with improved shelf stability. Our passion for beer and diversity of tastes allowed us to craft carefully refined recipes that we know will delight you.    We chose Fountain Square because of the community. Since we will be the first to admit our creativity and talents exist on a side of the brain that has little capability to draw, we have this admiration and attraction to those whose talents reside in the arts. We have connected to this community over the past year and look forward to being a vehicle for expressing its artistic nature. Fountain Square is a community of hard working, creative, fun loving, and genuine people. They are probably the most helpful people we've ever met. We are truly honored to be a part of the community and will strive to be worthy ambassadors and stewards.","http://www.fountainsquarebrewery.com/","2011","N","https://s3.amazonaws.com/brewerydbapi/brewery/f78xIY/upload_ODxmSI-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/f78xIY/upload_ODxmSI-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/f78xIY/upload_ODxmSI-large.png","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1301 Barth Ave.","Indianapolis","Indiana","46203","317.493.1410","39.749645","-86.140794","Y","N","N","Y","micro","Micro Brewery","US","2011","United States","USA","","Thursday - 4pm to 9pm  Friday - 4pm to 10pm  Saturday - 2pm to 10pm  Sunday - Noon - 6pm","","",""
