"id","name","website","established","isOrganic","status","statusDisplay","createDate","updateDate","streetAddress","region","postalCode","latitude","longitude","isPrimary","inPlanning","isClosed","openToPublic","locationType","locationTypeDisplay","countryIsoCode","displayName","isoThree","numberCode","description","images__icon","images__medium","images__large","locality","phone","hoursOfOperation","yearOpened","extendedAddress","mailingListUrl","yearClosed","isoCode"
"2dAEr0","Ska Brewing Company","http://www.skabrewing.com/","1995","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","225 Girard St","Colorado","81301","37.2388","-107.876149","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Characters Brewing Beer With Character Since 1995","https://s3.amazonaws.com/brewerydbapi/brewery/jp8F0o/upload_SYVUr3-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/jp8F0o/upload_SYVUr3-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/jp8F0o/upload_SYVUr3-large.png","Durango","970-247-5792","Mon - Fri: 9:00 am - 8:00 pm  Sat: 11:00 am - 7:00 pm","1995","","","",""
"ewt30R","Skagit River Brewing","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","404 South Third Street","Washington","98273","48.4192903","-122.3355768","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Mount Vernon","1-360-336-2884","","","","","",""
"HGbr9s","Skagway Brewing Company","http://www.skagwaybrewing.com/","1897","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","7th and Broadway","Alaska","99840","59.45648","-135.313169","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","With roots dating back to the Klondike Gold Rush of 1898, the Skagway Brewing Company first opened its doors in 1897 to serve the thirsty prospectors who had abandoned everything to head North and strike it rich in the gold fields. During its heyday, the Skagway Brewing Company and its brew master Herman Barthel, the most technologically adorned brewer on the West coast, produced up to 30,000 barrels of beer per year and had a bottling operation on site. Multiple breweries operated out of Skagway during the peak of the Gold Rush and by 1900 competition was fierce amongst them. With the Skagway economy on a decline due to the fervor of the gold rush ending and growing prohibition support, the Skagway Brewing Company closed its doors in 1904. In 1916, the “Alaska Bone Dry Law” was passed effectively ending the making and consumption of alcoholic beverages in the Territory of Alaska.    In 1997, a local entrepreneur reopened the Skagway Brewing Co. in the Golden North Hotel until 2002 when it again ceased operations. With the brewing tanks collecting dust and locals thirsty for microbrews, South Dakota native and long time Skagway resident, Michael Healy spotted an opportunity and bought the equipment in 2007. Operating in a brand new building, the Skagway Brewing Company again fired up the brew tanks and on July 4th, 2007 opened its doors once again much to the pleasure of locals and visitors alike. This bustling business keeps growing, frantically brewing to keep up with the high demand of its brews and quality-dining menu. We invite you to stop by 7th and Broadway for a fresh pint, delicious food, and a good time.","https://s3.amazonaws.com/brewerydbapi/brewery/ixDWFe/upload_q7edet-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ixDWFe/upload_q7edet-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ixDWFe/upload_q7edet-large.png","Skagway","907-983-2739","","","","","",""
"taKfJJ","Skeena Brewing Company","http://www.wolfgangsbeer.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1026 code Road","Ontario","K7H 3C8","44.900665","-76.249174","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","Skeena Brewing Company is rich in tradition and offers beer drinkers one of the most refreshing beer tastes imaginable -- Wolfgang's Premium Lager Beer.    The concept for a German Style Beer was born in 1997 when Ontario beer consumers were beginning to show interest in international flavours. Our expert brewers chose only the best ingredients for its creation, and our finest German style lager is brewed in small batches using world famous Hersbrucker hops and premium malted barley.    Wolfgang's® beer is cold filtered and sterile filled.    No additives or preservatives are used in the brewing of this premium, all natural, and great tasting beer.","https://s3.amazonaws.com/brewerydbapi/brewery/Uqh1N0/upload_DPxlZ9-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Uqh1N0/upload_DPxlZ9-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Uqh1N0/upload_DPxlZ9-large.png","Perth","613-267-4044","","","","","",""
"Vu3TSk","Skol Breweries","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Uran","","","18.87999","72.94987","Y","N","N","Y","micro","Micro Brewery","IN","India","IND","356","","","","","Maharashtra","","","","","","",""
"8DmHcB","Skookum Brewery","http://www.skookumbrewing.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","19529 17th Dr NE","Washington","98223","48.17279","-122.2069949","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Arlington","360-652-4917","","","","","",""
"HraESD","Skull Camp Brewing","http://www.skullcampbrewing.com/","2012","N","deleted","Deleted","2012-01-03 02:41:33","2014-10-16 18:01:49","765 Round Peak Church Road","North Carolina","27030","36.50014","-80.767745","N","N","N","Y","nano","Nano Brewery","US","United States","USA","","Craft beer is exploding across the nation and across our own state of North Carolina. Skull Camp Brewing is very excited to bring the love and passion of craft beer to the Elkin area.","https://s3.amazonaws.com/brewerydbapi/brewery/Ibch0C/upload_ur1grR-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ibch0C/upload_ur1grR-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/Ibch0C/upload_ur1grR-large.png","Mount Airy","","","2012","","","",""
"wQcFI4","Skull Camp Brewing","","","","verified","Verified","2012-01-03 02:41:33","2014-10-16 18:01:11","1980 N. Bridge St.","NC","","36.2835665","-80.8525462","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Elkin","","Friday & Saturday 12pm-6pm","","","","",""
"kXV5lc","Skull Coast Ales","http://skullcoastales.com/","2011","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","802 Somerton Drive","South Carolina","29715","35.011366","-80.956275","N","N","N","Y","micro","Micro Brewery","US","United States","USA","","Incorporated in December 2011, the Skull Coast Brewing Company, Inc., is a new entity formed for the express purpose of brewing and distributing handcrafted artisan ales, and whose history has yet to be written. Prior to its formation, Dave Fox launched and operated the Skull Coast Ale Company, a limited liability company (LLC.), located in Fort Mill, South Carolina, organized in 2009. Without the investment dollars needed to start his own brewery, the Skull Coast Ale Company operated as a “Contract Brewing” or “Beer Marketing” company, in craft beer terms. For those unfamiliar with the terminology, the company contracted with other breweries to produce its beer recipes, and marketed the products under the Skull Coast name.    After months of recipe development and searching for a brewery to contract with, Dave Fox brewed Skull Coast's first beer on St. Patrick's Day, 2010, in Virginia. The result was Maelstrom IPA; a true west coast style India Pale Ale, aggressively hopped with seven different Northwest hops. After months of traveling back and forth between South Carolina and Virginia to brew and transport kegs (roughly seven hours each way), Dave sought out a second contract brewing relationship closer to home. Unfortunately, every Carolina brewery Dave approached was at or near capacity. Undeterred, Dave created his own capacity. In the first of its kind contract model, Dave purchased his own 60bbl fermenter and bright tanks, and placed them in another brewery.    The Skull Coast Brewing Company is the continuation of a lifelong dream. The brand was born in a small Charleston library after looking at a local map drawn in the 1700's, during the Golden Age of Piracy, with the words ""Skull Coast"" etched along the Carolina coastline. The Skull Coast products matured and our understanding of the beer business was developed during our contract brewing experience, under the Skull Coast Ale Company. Now, with a new entity, our own facility and unrestricted in our growth, the Skull Coast Brewing Company hopes to become a lifelong part of your history.","https://s3.amazonaws.com/brewerydbapi/brewery/HX4Prz/upload_8OZR9o-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/HX4Prz/upload_8OZR9o-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/HX4Prz/upload_8OZR9o-large.png","Fort Mill","803-619-9295","","","","","",""
"TjzLgu","Hickory Location","","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","883 Highland Ave SE","North Carolina","28602","35.735156","-81.325672","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","","","","","","Hickory","","","2012","","","",""
"9IKYkO","Sky High Brewing & Pub","http://www.skyhighbrewing.com/","2012","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","160 NW Jackson Ave","Oregon","97330","44.564832","-123.259043","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","You've noticed the sky reaching beams coming out of the old Avalon Cinema building... You noticed that the street was blocked all day as we installed our brew tanks... You've noticed Sky High Brewing & Pub!    The Tasting Room is officially open on the mezzanine level; we will open the whole space in sections as each new level is ready. We plan to install as many bike racks as we can... and encourage two-wheeled transportation. :)","","","","Corvallis","(541) 207-3277","Mon - Wed: 4:00 pm - 10:00 pm  Thu: 4:00 pm - 11:00 pm  Fri: 4:00 pm - 12:00 am  Sat: 2:00 pm - 12:00 am","2012","","","",""
"MrDtv3","Skye Book and Brew","http://www.skyebookandbrew.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","148 E Main St","Washington","99328","46.3193152","-117.9814208","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","","","","","Dayton","509-382-4677","","","","","",""
"zAwi4U","Skyscraper Brewing Co","http://www.skyscraperbrewing.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3229 Durfee Ave","California","91732","34.0619334","-118.012281","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","El Monte","626-575-0770","","","","","",""
"bUfWDv","Skytop Steakhouse and Brewing Company","http://www.skytop.moonfruit.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","237 Forest Hill Dr","New York","12401","41.9498483","-74.041333","Y","N","Y","N","brewpub","Brewpub","US","United States","USA","","","","","","Kingston","(845) 340-4277","","","","","2014",""
"DoOKNM","Slab City Brewing","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Wisconsin","","44.740379","-88.446177","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","","","","","Bonduel","","","","","","",""
"yEUwgV","Slanted Rock Brewing Company","http://slantedrock.com/","2011","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","2374 E Cinema Dr","Idaho","83642","43.592112","-116.3660196","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Slanted Rock Brewing Company, LLC was founded in Meridian, Idaho on June 2011 by Bob Lonseth and Vincent Melchor. The Partners and additional investment from John E. MacCrisken has financed the start-up of this venture.    Slanted Rock plans to start Operations in Fall 2012 with a 15 BBL Brewhouse, 2-15BBL Fermenters, 1- 30BBL Fermenter, 1-15BBL Brite Tank and 1-30BBL Brite Tank. Production volume will be packaged in kegs initially with hopes of adding bottle or canning in the future.    Keg Sales will be self-distributed initially, with future distribution outside of Idaho. Retail Customers can buy kegs and pick-up direct from the location at a discounted keg price. Individuals can also purchase kegs in the following sizes: ½ BBL, 1/6 BBL    The brewery location will open a tap room where Slanted Rock and other selected craft brewers will be on tap. Sample flights, pints, half pints & growlers will be available for sale.","https://s3.amazonaws.com/brewerydbapi/brewery/0YoykS/upload_JdTmsE-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/0YoykS/upload_JdTmsE-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/0YoykS/upload_JdTmsE-large.png","Meridian","(208) 288-2192","Tues-Thurs: 4:00pm-9:00pm  Fri & Sat: 12:00pm-10:00pm","2012","Suite 100","","",""
"EjsWFv","SlapShot Brewing Co.","http://www.slapshotbrewing.com","2012","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","3223 S Kolin Ave","Illinois","60623","41.8341848","-87.7327796","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","SlapShot Brewing Co is a startup brewery in Chicago. We will be brewing on our 3.5bbl brewhouse with a focus on beers brewed with locally sourced ingredients. Brewing small batches will allow us to bring you a line of unique session ales as well as some pretty awesome seasonals.","https://s3.amazonaws.com/brewerydbapi/brewery/0IMQ2L/upload_BkkFTx-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/0IMQ2L/upload_BkkFTx-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/0IMQ2L/upload_BkkFTx-large.png","Chicago","","","2013","","","",""
"bArjvS","Slate Creek Brewing Co.","http://slatecreekbrewing.com/","2013","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1710 N. 4th Street","Idaho","83814","47.691717","-116.779913","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Slate Creek is a little know tributary to the St. Joe River deep in the mountains of North Idaho. Hidden by steep rugged canyon walls, Slate Creek has long been a secret spot for anglers and whitewater explorers. Slate Creek Brewing Co., like the mountain stream it is named after, is a secret spot for craft beer explorers, serving up adventurous, rugged and beautifully hand crafted ales for those daring enough to explore the un-trampled path. Discover the secret spot in your own backyard.","https://s3.amazonaws.com/brewerydbapi/brewery/85u1P0/upload_YOCyWu-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/85u1P0/upload_YOCyWu-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/85u1P0/upload_YOCyWu-large.png","Coeur d'Alene","(208) 664-7727","Thu - Sat: 2:00 pm - 10:00 pm","2013","Suite 115","","",""
"q878Wn","Sleeman Breweries Ltd.","http://www.sleeman.ca/","1851","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","551 Clair Road West","Ontario","","43.4870365","-80.2067709","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","The Sleeman brewery is located at the edge of southern Guelph, approximately 80 kilometres West of Toronto.    Established by John Sleeman, with a lineage that extends over five generations, John takes particular pride in his heritage. In fact, when it comes to beer tradition, his grandfather George A. Sleeman wrote the book on it - literally.     John's family's brewing tradition in Canada extends back to 1834 when John H. Sleeman arrived in Ontario from Cornwall, England. By 1851, he started the first Sleeman brewery to be located in Guelph, Ontario, brewing small 100-barrel batches.     The passion that drove John's great-great-grandfather to begin his renowned Canadian brewing tradition is the same passion that runs through John's veins today - and we look forward to passing on the tradition to many more generations to come.    An art as much as a science, beer making depends equally on the talent of the brewmaster and the quality of the ingredients.     Premium brewing employs a time-honoured process in which natural ingredients are blended in myriad combinations and brewed in small batches to produce beers that range from contemporary light brews to 'Old World' dark stouts.","https://s3.amazonaws.com/brewerydbapi/brewery/D61TcY/upload_B9Bsxc-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/D61TcY/upload_B9Bsxc-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/D61TcY/upload_B9Bsxc-large.png","Guelph","1-519-822-1834","","","","","",""
"A2N1IN","Sleeping Giant Brewing Co.","http://www.sleepinggiantbrewing.ca/","2012","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","946 B Cobalt Crescent","Ontario","P7B 5W3","48.4092254","-89.2562497","Y","N","N","Y","micro","Micro Brewery","CA","Canada","CAN","124","Sleeping Giant Brewing Co. brews unique craft beer with quality ingredients to delight novice and sophisticated beer drinkers in our community. We strive to mirror the evolving craft beer resurgence of North America by providing flagship, seasonal and limited edition brews. We will motivate and educate our consumers to not just drink their beer, but to EARN IT with a balanced lifestyle.","https://s3.amazonaws.com/brewerydbapi/brewery/JH86vM/upload_qcjbTo-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/JH86vM/upload_qcjbTo-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/JH86vM/upload_qcjbTo-large.png","Thunder Bay","807-631-7837","Thu - Sat: 12:00 pm - 6:00 pm","2012","","","",""
"SRpwgE","Sleeping Lady Brewing Company","http://www.alaskabeers.com/","1996","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","717 W. 3rd Ave","Alaska","99501","61.2196027","-149.8958411","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","The Snow Goose Restaurant and Sleeping Lady Brewing Company is located in downtown Anchorage, Alaska. It overlooks Cook Inlet, with the second highest tide in the world (38 feet) and the active industrial port of Anchorage. On clear days, North America's highest peak, Denali (Mt. McKinley) stands majestically to the north. To the west sits our brewery's namesake, Sleeping Lady (Mt. Susitna). Please join us for our fine hand crafted beers and Alaskan influenced entrees!    The Goose was one of the first Brew Pubs in Anchorage. We have won numerous national and international awards for our finely craft ales. Our dining room is sandwiched between our award winning brewery and our wonderful views to the north. Our upstairs Pub has two walls of windows extending the views. On a cold day, you can sit by a warm fireplace with a hot meal and a cool beer. Our two outdoor decks off of the Pub offer mountain views, radiant sunsets, military aerobatics, and an active port.","https://s3.amazonaws.com/brewerydbapi/brewery/pPkHlz/upload_32pLMT-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/pPkHlz/upload_32pLMT-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/pPkHlz/upload_32pLMT-large.png","Anchorage","(907) 277-7727","Mon - Thu:	11:30 am	-	11:00 pm  Fri - Sat:	11:30 am	-	12:00 am  Sun:	12:00 pm	-	10:00 pm","","","","",""
"4lYkpf","Sleepy Dog Brewery","http://www.sleepydogbrewing.com/","2009","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1920 E University Dr","Arizona","85281","33.4225411","-111.9041782","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Established in 2009, Sleepy Dog Brewery has been brewing hand crafted beer for wholesale distribution throughout the state of Arizona. Our commitment to brewing consistent, quality beer with meticulous attention to detail has helped us consistently grow our distribution every year. Our products can be found throughout the state of Arizona and soon in Southern California. We supply beer to hundreds of bars and restaurants and most all major grocery and retail chains.","https://s3.amazonaws.com/brewerydbapi/brewery/CE6krO/upload_ypnZke-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/CE6krO/upload_ypnZke-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/CE6krO/upload_ypnZke-large.png","Tempe","480-967-5476","","","","","",""
"RTiZV4","Sleepy Owl Brewery","http://www.sleepyowlbrewery.com","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","151 East Main St.","Tennessee","37660","36.544148","-82.5611179","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","","Sleepy Owl Brewery is a nano brewery, located in Historic Downtown Kingsport, Tennessee.","https://s3.amazonaws.com/brewerydbapi/brewery/7RaQWJ/upload_FCD2ju-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/7RaQWJ/upload_FCD2ju-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/7RaQWJ/upload_FCD2ju-large.png","Kingsport","(423) 612-0727","","","","","",""
"uRlbJl","Boston Beer Works","http://www.beerworks.net/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","61 Brookline Ave","Massachusetts","02215","42.3470085","-71.0987753","Y","N","N","N","brewpub","Brewpub","US","United States","USA","","","","","","Boston","617-536-2337","","","","","",""
"h5HYz6","Slippery Pig Brewery","http://slipperypigbrewery.com/","2010","N","verified","Verified","2012-01-03 02:41:33","2014-10-28 12:54:29","18801 Front Street","Washington","98370","47.7346178","-122.6462842","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","A small brewery with an outdoor tasting area specializing in odd beers. Each beer features an ingredient grown either at the brewery or from a local farmer. Best known at this time for their rhubarb IPA, stinging nettle pale, and dandelion bitter. A truly unique experience!","https://s3.amazonaws.com/brewerydbapi/brewery/68FCTA/upload_XuQJWY-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/68FCTA/upload_XuQJWY-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/68FCTA/upload_XuQJWY-large.png","Poulsbo","360-440-9253","","2010","","","",""
"zomWCT","Sloop Brewing","http://www.sloopbrewing.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","New York","12603","41.7003713","-73.9209701","Y","N","N","N","nano","Nano Brewery","US","United States","USA","","Sloop brewing is a true nano brewery located in the Hudson Valley region. A Nano brewery is a licensed brewery using a brewing system of less than 4 barrels.  Brewing at this level allows us to spend more time crafting each and every beer to be exactly as it should be. Additionally, our local distribution ensures that every Sloop beer you drink will be fresh out of our brewery.","https://s3.amazonaws.com/brewerydbapi/brewery/qxsSk4/upload_bOdeT2-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/qxsSk4/upload_bOdeT2-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/qxsSk4/upload_bOdeT2-large.png","Poughkeepsie","(917) 848-3865","","2012","","","",""
"JP0N8X","Slopes Resturaunt And Brewpub","http://slopesrestaurant.com/","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","150 Maysville St","Maine","04769","46.695829","-68.0012842","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Slopes Restaurant is Northern Maine's finest dining establishment! Slopes offers the only micro-brewery north of Bangor with a fine selection of hand-crafted beers. Our food is also world-class with a premium selection of Angus Beef to StarBucks Coffee and desserts that are world-famous!","","","","Presque Isle","207-769-2739","","","","","",""
"vijBHy","Slottskllans Bryggeri","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Mrstagatan 10-12","","","59.8543549","17.6627174","Y","N","N","Y","micro","Micro Brewery","SE","Sweden","SWE","752","","","","","Uppsala","46-018-15-58-00","","","","","",""
"nzEpnQ","Slow Boat Brewery","http://www.slowboatbrewery.com/","2011","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","Dongsi Batiao, #56-2","Beijing","100007","39.9423391","116.4227995","Y","N","N","Y","micro","Micro Brewery","CN","China","CHN","156","Slow Boat Brewery began in 2009 when two Americans met and bonded over their shared longing for the beers they grew up drinking in the states. As one of Beijing's first microbreweries, our beer is made in small batches using unhurried methods. No preservatives, no chemicals, just delicious craft beer that's kept cold from the brewery to your glass.","https://s3.amazonaws.com/brewerydbapi/brewery/ZXijZq/upload_PF6tdW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZXijZq/upload_PF6tdW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/ZXijZq/upload_PF6tdW-large.png","DongCheng","+86 10 6538 5537","Monday：CLOSED，Tuesday：5pm-Midnight，Wednesday：5pm-Midnight，Thursday：5pm-1am，Friday：5pm -Late，Saturday：2pm-Late，Sunday：2pm-10pm","2011","","","",""
"Y2RzRP","Sly Fox Brewing Company","http://www.slyfoxbeer.com/","1995","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","331 Circle of Progress Drive","Pennsylvania","19464","40.265218","-75.668637","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","A full production brewery and accompanying restaurant opened in 2004 by the owners of Sly Fox Brewhouse & Eatery in nearby Phoenixville. The 20bbl brewhouse packages a wide range of beers in 12oz cans, 22oz bottles and 750ml bottles. Pikeland Pils, a multiple GABF Gold Medal Winner, and O'Reilly's Stout, a nitro-poured, draught-only beer named after brewer Brian O'Reilly's grandfather are among its most popular beers, on and off premises, as are such Belgian-style delights as Incubus Tripel, Ichor Quadrupel, Saison Vos & Black Raspberry Reserve. Sly Fox is also noted for its Bock Beers (see listing for the Phoenixville pub for more details) and annual Christmas Ale.","https://s3.amazonaws.com/brewerydbapi/brewery/gMuiEI/upload_V0Qz7u-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/gMuiEI/upload_V0Qz7u-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/gMuiEI/upload_V0Qz7u-large.png","Pottstown","484-524-8210","Tours:  Saturdays & Sundays, 2:00pm & 4:00pm   Please call ahead    Tasting Room:  Mon - Tues: CLOSED   Wed - Thurs: 11:30 am - 9:00 pm   Fri - Sat: 11:30 am - 10:00 pm   Sun: 11:30 am - 8:00 pm","1995","","","",""
"WlUPTC","Phoenixville Brewhouse & Eastery","http://www.slyfoxbeer.com/","","","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","519 Kimberton Road","Pennsylvania","19460","40.129771","-75.549867","N","N","N","Y","restaurant","Restaurant/Ale House","US","United States","USA","","","","","","Phoenixville","610-935-4540","Mon-Thurs: 11:30 am - 11:00 pm  Fri-Sat: 11:30 am-Midnight  Sun: Noon-11:00 pm","1995","","","",""
"zfiQwp","Small Batch Beer Company","http://www.smallbatchws.com","2013","N","verified","Verified","2012-01-03 02:41:33","2014-08-12 12:37:34","241 W. 5th St.","North Carolina","27101","36.0997242","-80.2471223","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","","Small Batch Beer Co. is a brewery and handcrafted cocktail bar in downtown Winston-Salem, NC. Soon to be located in the Kopper Kitchen building, our goal is to give every patron a unique taste and experience each time they come through the door.","https://s3.amazonaws.com/brewerydbapi/brewery/cBMlBY/upload_FcnbVa-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/cBMlBY/upload_FcnbVa-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/cBMlBY/upload_FcnbVa-large.png","Winston-Salem","(336) 893-6395","Tue:  4:00pm - 2:00am Wed:  4:00pm - 2:00am Thu:  4:00pm - 2:00am Fri:  4:00pm - 2:00am Sat:  12:00pm - 2:00am Sun:  12:00pm - 10:00pm  ","2014","","","",""
"h4nmEO","Smartmouth Brewing Company","http://smartmouthbrewing.com/","2012","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","1309 Raleigh Ave","Virginia","23507","36.866415","-76.309354","Y","N","N","Y","micro","Micro Brewery","US","United States","USA","","Smartmouth is a 20 barrel brewery focused on brewing a wide variety of the highest quality beers with the goal of giving beer lovers new tasting experiences to savor. Our beers are crisp, clean and smooth.","https://s3.amazonaws.com/brewerydbapi/brewery/f8KmL1/upload_ZsJQeW-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/f8KmL1/upload_ZsJQeW-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/f8KmL1/upload_ZsJQeW-large.png","Norfolk","(757) 624-3939","","2012","","","",""
"AMAnaq","SME Brewing","","","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","","Texas","","32.778155","-96.795404","Y","Y","N","N","micro","Micro Brewery","US","United States","USA","","","","","","Dallas","214-503-0578","","","","","",""
"3JrTod","Smiling Toad Brewery","","2013","N","verified","Verified","2012-01-03 02:41:33","2014-10-13 14:39:29","1757 S 8th St","Colorado","80905","38.806562","-104.8385274","Y","N","N","Y","nano","Nano Brewery","US","United States","USA","","Colorado Springs brewery specializing in session beers. We have medium beers, not mediocre.","https://s3.amazonaws.com/brewerydbapi/brewery/eVgnFV/upload_ZMkPFO-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/eVgnFV/upload_ZMkPFO-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/eVgnFV/upload_ZMkPFO-large.png","Colorado Springs","(719) 418-2936","Tue:  3:00pm - 9:00pm Wed:  3:00pm - 9:00pm Thu:  3:00pm - 9:00pm Fri:  3:00pm - 9:00pm Sat:  1:00pm - 9:00pm Sun:  1:00pm - 6:00pm  ","2013","","","",""
"ersDcu","Smith Rock Brewing Company","http://smithrockbrewing.com","2011","N","verified","Verified","2012-01-03 02:41:33","2014-07-23 19:11:34","546 NW 7th St","Oregon","97756","44.28081","-121.1751","Y","N","N","Y","brewpub","Brewpub","US","United States","USA","","Smith Rock Brewing is actually located about 9 miles south of its namesake in the town of Redmond. It’s Redmond’s 3rd brewery which originally opened up as a brewpub with a half-barrel brewing operation. In addition to it’s own brew, this neighborhood brewery serves up some food and boasts a pretty good gust tap list. If you live in Redmond and love craft beer, there’s no doubt you’ve already stopped in – but if you are passing thru, or visiting the town, stopping in is a must!  Cheers!","https://s3.amazonaws.com/brewerydbapi/brewery/f3njiC/upload_nguYAh-icon.png","https://s3.amazonaws.com/brewerydbapi/brewery/f3njiC/upload_nguYAh-medium.png","https://s3.amazonaws.com/brewerydbapi/brewery/f3njiC/upload_nguYAh-large.png","Redmond","(541) 279-7005","Tue - Thu: 11:30 am - 8:00 pm  Fri: 11:30 am - 9:00 pm  Sat: 12:00 pm - 9:00 pm","2011","","","",""
